outcome,outcome_label,load_variable,load_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value,estimate_CI
high_iauc_population,High iAUC population Q4,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_sin,0.06957794889940802,0.0324860027590683,2.1417823982664563,0.03221099648049292,0.00590538349163415,0.13325051430718188,1497,40,7,0.04797382454541499,"0.070 (0.006, 0.133)"
high_iauc_population,High iAUC population Q4,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_cos,0.011985986610144883,0.026603820135850373,0.45053629700318826,0.6523237881932945,-0.040157500856121846,0.06412947407641162,1497,40,7,0.7248042091036606,"0.012 (-0.040, 0.064)"
high_iauc_subject_specific,High iAUC subject-specific Q4,available_carbs_10g,Available carbohydrate per 10 g,Intercept,0.14446136788182581,0.024775294702904172,5.830863754161196,5.514119456645819e-09,0.09590179026413365,0.19302094549951798,1497,40,7,2.5173154041209175e-08,"0.144 (0.096, 0.193)"
high_iauc_subject_specific,High iAUC subject-specific Q4,available_carbs_10g,Available carbohydrate per 10 g,available_carbs_10g,0.030238535454030605,0.003116817946964629,9.701732975286209,2.9642051081155035e-22,0.024129572277979933,0.03634749863008128,1497,40,7,3.890519204401598e-21,"0.030 (0.024, 0.036)"
high_iauc_subject_specific,High iAUC subject-specific Q4,available_carbs_10g,Available carbohydrate per 10 g,msi_centered,0.016925462195137353,0.025818687014025357,0.6555508491172699,0.5121131589374999,-0.033679164352352346,0.06753008874262706,1497,40,7,0.5908997987740383,"0.017 (-0.034, 0.068)"
high_iauc_subject_specific,High iAUC subject-specific Q4,available_carbs_10g,Available carbohydrate per 10 g,load_x_msi,0.004400373170602021,0.004959715006283317,0.8872229886248137,0.37495885796413636,-0.00532066824171328,0.014121414582917323,1497,40,7,0.44236719198016083,"0.004 (-0.005, 0.014)"
high_iauc_subject_specific,High iAUC subject-specific Q4,available_carbs_10g,Available carbohydrate per 10 g,baseline_glucose_z,-0.07122514582986234,0.009748786292891264,-7.306052639783389,2.751044353489965e-13,-0.09033276696392921,-0.05211752469579546,1497,40,7,1.6991744536261547e-12,"-0.071 (-0.090, -0.052)"
high_iauc_subject_specific,High iAUC subject-specific Q4,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_sin,0.07313981000805025,0.027625059861997977,2.647589195224297,0.008106797077852817,0.018994692678534222,0.1272849273375663,1497,40,7,0.013511328463088028,"0.073 (0.019, 0.127)"
high_iauc_subject_specific,High iAUC subject-specific Q4,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_cos,0.011021658014676028,0.0253287432910004,0.4351442899495196,0.6634576970228189,-0.03862267883568476,0.060665994865036814,1497,40,7,0.7294561066743034,"0.011 (-0.039, 0.061)"
high_peak_population,High peak population Q4,available_carbs_10g,Available carbohydrate per 10 g,Intercept,0.1851073375953982,0.0374120913402562,4.947794441959432,7.505911239232589e-07,0.11177963856849607,0.2584350366223004,1497,40,7,2.5840022298997435e-06,"0.185 (0.112, 0.258)"
high_peak_population,High peak population Q4,available_carbs_10g,Available carbohydrate per 10 g,available_carbs_10g,0.021541408285593325,0.003849504823986609,5.595890710765416,2.1949194158706577e-08,0.01399637883057957,0.02908643774060708,1497,40,7,8.864097641016117e-08,"0.022 (0.014, 0.029)"
high_peak_population,High peak population Q4,available_carbs_10g,Available carbohydrate per 10 g,msi_centered,0.11860596506137794,0.03290234251062887,3.6047878664889326,0.00031240800136586794,0.05411737374054536,0.1830945563822105,1497,40,7,0.0005910421647462367,"0.119 (0.054, 0.183)"
high_peak_population,High peak population Q4,available_carbs_10g,Available carbohydrate per 10 g,load_x_msi,0.00997069573020899,0.00465192734311635,2.14334726120842,0.032085224509792364,0.0008529181377009455,0.019088473322717035,1497,40,7,0.04797382454541499,"0.010 (0.001, 0.019)"
high_peak_population,High peak population Q4,available_carbs_10g,Available carbohydrate per 10 g,baseline_glucose_z,-0.03015955573865376,0.019171370549962468,-1.5731559546071578,0.11568271122290265,-0.06773544201658019,0.007416330539272674,1497,40,7,0.15375550225828832,"-0.030 (-0.068, 0.007)"
