left_out_subject,outcome,term,estimate,se,p_value,n,n_clusters
4,iauc_2h_per1000,carbs_10g,0.1917989714875457,0.018514792182201954,3.800128975242232e-25,1437,39
4,iauc_2h_per1000,msi_centered,1.1718734023636004,0.28848432512218875,4.861790460679998e-05,1437,39
4,iauc_2h_per1000,load_x_msi,0.05438846709687535,0.02596437140811058,0.036194591869602624,1437,39
4,peak_delta_2h,carbs_10g,2.688487382994431,0.2548346744518026,5.083621497043765e-26,1437,39
4,peak_delta_2h,msi_centered,18.962889356732028,4.13832930081168,4.599835794759955e-06,1437,39
4,peak_delta_2h,load_x_msi,0.7207175706986497,0.35587783487530594,0.042848625826182186,1437,39
5,iauc_2h_per1000,carbs_10g,0.18058177619168994,0.02032595149866438,6.432662095534211e-19,1452,39
5,iauc_2h_per1000,msi_centered,1.1803774537145972,0.28180536950017493,2.806477903738416e-05,1452,39
5,iauc_2h_per1000,load_x_msi,0.043401032011424416,0.027171358726835418,0.11019704098519262,1452,39
5,peak_delta_2h,carbs_10g,2.4575829325907037,0.29800492612861523,1.6271105753083666e-16,1452,39
5,peak_delta_2h,msi_centered,18.706948391969206,4.1254324617101545,5.7728506513853145e-06,1452,39
5,peak_delta_2h,load_x_msi,0.4019622738189521,0.3858167780717632,0.29748235398913575,1452,39
6,iauc_2h_per1000,carbs_10g,0.17886316887835652,0.02003612880316157,4.375897029693764e-19,1460,39
6,iauc_2h_per1000,msi_centered,1.0573308615642714,0.27214630819253516,0.0001022642020669577,1460,39
6,iauc_2h_per1000,load_x_msi,0.04000854471407975,0.027411580484938927,0.1444140661798721,1460,39
6,peak_delta_2h,carbs_10g,2.4662088174299415,0.29759904151657013,1.161224009550345e-16,1460,39
6,peak_delta_2h,msi_centered,17.098671620890105,3.9770662168434723,1.7132464716238213e-05,1460,39
6,peak_delta_2h,load_x_msi,0.4625219017153308,0.3939687786469574,0.24039242739414593,1460,39
7,iauc_2h_per1000,carbs_10g,0.17920513911193797,0.01979132887216844,1.369060770596956e-19,1481,39
7,iauc_2h_per1000,msi_centered,1.0728473594342196,0.2714674697039817,7.749129124974728e-05,1481,39
7,iauc_2h_per1000,load_x_msi,0.040864907613423596,0.026857165383866354,0.12811825516110023,1481,39
7,peak_delta_2h,carbs_10g,2.4603323995122874,0.29342338854561933,5.075914743199781e-17,1481,39
7,peak_delta_2h,msi_centered,17.40726491834987,3.9596623529020767,1.1018840974951866e-05,1481,39
7,peak_delta_2h,load_x_msi,0.4779104320951184,0.3876962473573743,0.21769034192367204,1481,39
8,iauc_2h_per1000,carbs_10g,0.1747171830655076,0.01975483361991062,9.212439712031704e-19,1468,39
8,iauc_2h_per1000,msi_centered,1.0807080697278981,0.27430556574469744,8.155080309580237e-05,1468,39
8,iauc_2h_per1000,load_x_msi,0.03786265116360408,0.027428450462774784,0.16745882896794925,1468,39
8,peak_delta_2h,carbs_10g,2.437229557964132,0.30167809071771573,6.534927234530878e-16,1468,39
8,peak_delta_2h,msi_centered,17.45144424517292,3.989390402645952,1.2173127256517288e-05,1468,39
8,peak_delta_2h,load_x_msi,0.4531139321259998,0.39640258895319486,0.2530115975202907,1468,39
9,iauc_2h_per1000,carbs_10g,0.18026549173345824,0.02084663588306869,5.276817970689638e-18,1457,39
9,iauc_2h_per1000,msi_centered,1.2075134474847617,0.2648720258501107,5.143299933015876e-06,1457,39
9,iauc_2h_per1000,load_x_msi,0.048043516618683835,0.027355181671132767,0.07903962384046867,1457,39
9,peak_delta_2h,carbs_10g,2.4585420726304292,0.3066026943723697,1.0690691974359528e-15,1457,39
9,peak_delta_2h,msi_centered,19.27230988361225,3.8343883622434123,5.003573114005126e-07,1457,39
9,peak_delta_2h,load_x_msi,0.5369974610666357,0.4078969089179192,0.188005307702197,1457,39
10,iauc_2h_per1000,carbs_10g,0.1780734569947447,0.019947579137159683,4.374363292653428e-19,1453,39
10,iauc_2h_per1000,msi_centered,1.0687243847870505,0.27475907976671543,0.00010037726523082946,1453,39
10,iauc_2h_per1000,load_x_msi,0.04159525217819153,0.0269230654209416,0.12235420468194814,1453,39
10,peak_delta_2h,carbs_10g,2.4749412551202257,0.30045727919096116,1.7621631675117998e-16,1453,39
10,peak_delta_2h,msi_centered,17.393263887721954,3.9948022443987643,1.3369175615905771e-05,1453,39
10,peak_delta_2h,load_x_msi,0.4912241936503098,0.3910793293700446,0.20908949761413315,1453,39
11,iauc_2h_per1000,carbs_10g,0.17657963705678098,0.020449537405485455,5.878028131951361e-18,1459,39
