figure,group,format,path,exists,bytes,status,width_px,height_px,pixel_sd_64
EDFigure5_NHANES_Sensitivity,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure5_NHANES_Sensitivity.tiff,True,1912508,ok,5258.0,4569.0,12.264560065234708
EDFigure6_DEHP_MixtureProxy,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure6_DEHP_MixtureProxy.pdf,True,21955,ok,,,
EDFigure6_DEHP_MixtureProxy,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure6_DEHP_MixtureProxy.svg,True,20696,ok,,,
EDFigure6_DEHP_MixtureProxy,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure6_DEHP_MixtureProxy.png,True,541094,ok,4869.0,4569.0,9.627379631056721
EDFigure6_DEHP_MixtureProxy,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure6_DEHP_MixtureProxy.tiff,True,1345336,ok,4869.0,4569.0,9.627379631056721
EDFigure7_MSI_Robustness,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure7_MSI_Robustness.pdf,True,25950,ok,,,
EDFigure7_MSI_Robustness,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure7_MSI_Robustness.svg,True,58248,ok,,,
EDFigure7_MSI_Robustness,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure7_MSI_Robustness.png,True,637179,ok,6367.0,3069.0,59.285575656094785
EDFigure7_MSI_Robustness,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure7_MSI_Robustness.tiff,True,2889946,ok,6367.0,3069.0,59.285617427687306
EDFigure8_HighResponse_Sensitivity,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure8_HighResponse_Sensitivity.pdf,True,17150,ok,,,
