figure,group,format,path,bytes,width_px,height_px,mode
EDFigure7_MSI_Robustness,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure7_MSI_Robustness.png,637179,6367.0,3069.0,RGBA
EDFigure7_MSI_Robustness,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure7_MSI_Robustness.tiff,2889946,6367.0,3069.0,RGBA
EDFigure8_HighResponse_Sensitivity,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure8_HighResponse_Sensitivity.pdf,17150,,,
EDFigure8_HighResponse_Sensitivity,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure8_HighResponse_Sensitivity.svg,14157,,,
EDFigure8_HighResponse_Sensitivity,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure8_HighResponse_Sensitivity.png,339095,4869.0,2949.0,RGBA
EDFigure8_HighResponse_Sensitivity,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure8_HighResponse_Sensitivity.tiff,1387682,4869.0,2949.0,RGBA
EDFigure9_Bootstrap_Influence,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure9_Bootstrap_Influence.pdf,21130,,,
EDFigure9_Bootstrap_Influence,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure9_Bootstrap_Influence.svg,27922,,,
EDFigure9_Bootstrap_Influence,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure9_Bootstrap_Influence.png,430184,6549.0,3069.0,RGBA
EDFigure9_Bootstrap_Influence,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure9_Bootstrap_Influence.tiff,1244470,6549.0,3069.0,RGBA
EDFigure10_FoodMatrix_Annotation,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure10_FoodMatrix_Annotation.pdf,38938,,,
