outcome,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model,q_value
high_iAUC_moderate_peak_flag,meal_type_Lunch,0.06714537203001403,0.0225222888134901,2.981285453980867,0.0028704109634947444,0.023001685955573434,0.11128905810445462,1498,40,17,curve_shape_lpm_or_linear,0.01626566212647022
high_iAUC_moderate_peak_flag,meal_type_Snack,0.022510877602051504,0.04119943034342983,0.5463880790196743,0.5847992027423305,-0.05824000587107096,0.10326176107517397,1498,40,17,curve_shape_lpm_or_linear,0.7953269157295696
high_iAUC_moderate_peak_flag,meal_type_Snacks,0.0294758508596773,0.03829242490144927,0.7697567060727386,0.4414442256083482,-0.045577301947163265,0.10452900366651786,1498,40,17,curve_shape_lpm_or_linear,0.6872789934481606
high_iAUC_moderate_peak_flag,meal_type_breakfast,-0.017382123495100488,0.020224699720481815,-0.8594502630611315,0.3900921491961252,-0.057022534947244845,0.02225828795704387,1498,40,17,curve_shape_lpm_or_linear,0.6631566536334129
high_iAUC_moderate_peak_flag,meal_type_dinner,0.07112587182778518,0.03879524636732641,1.8333656436755565,0.06674821327360721,-0.004912811052174587,0.14716455470774495,1498,40,17,curve_shape_lpm_or_linear,0.16210280366447463
high_iAUC_moderate_peak_flag,meal_type_lunch,0.06089484499720976,0.03155375756622231,1.9298761762179641,0.05362218195452293,-0.0009505198325859554,0.12274020982700548,1498,40,17,curve_shape_lpm_or_linear,0.14393322524635102
high_iAUC_moderate_peak_flag,meal_type_snack,0.07518313284254075,0.0382900760940016,1.963514845412352,0.04958638121933044,0.00013458369829762173,0.15023168198678388,1498,40,17,curve_shape_lpm_or_linear,0.14049474678810292
high_iAUC_moderate_peak_flag,meal_type_snack 1,0.022769498600352822,0.040280525153300224,0.5652731317105804,0.5718880009117722,-0.05618033070011562,0.10171932790082126,1498,40,17,curve_shape_lpm_or_linear,0.7882780553108211
high_peak_fast_recovery_flag,Intercept,0.005067647846317511,0.01576538492701117,0.3214414281528262,0.7478758923561017,-0.025832506610624383,0.035967802303259404,1498,40,17,curve_shape_lpm_or_linear,0.8870155932595626
high_peak_fast_recovery_flag,msi_centered,0.0003394934565687319,0.0021395856842091796,0.15867252200942508,0.8739268881319923,-0.00385409448448126,0.004533081397618724,1498,40,17,curve_shape_lpm_or_linear,0.9291527289191526
high_peak_fast_recovery_flag,carbs_10g,-4.883126648474057e-05,0.0005064065760637355,-0.09642699916004793,0.9231814498031822,-0.001041388155569662,0.0009437256226001809,1498,40,17,curve_shape_lpm_or_linear,0.9550812361456452
high_peak_fast_recovery_flag,digestibility_centered,0.002351496540244245,0.0014561833890687,1.6148354375530551,0.10634633667321564,-0.0005026229023304069,0.005205615982818897,1498,40,17,curve_shape_lpm_or_linear,0.23079417746102115
high_peak_fast_recovery_flag,msi_x_digestibility,0.00031874671515821364,0.0016534094161010547,0.19278148053000574,0.8471301078168257,-0.002921935740399853,0.0035594291707162808,1498,40,17,curve_shape_lpm_or_linear,0.9291104408313573
high_peak_fast_recovery_flag,baseline_glucose,-0.0005141810408064093,0.0006688436756394603,-0.7687611612905169,0.44203510923223394,-0.0018251146450597516,0.000796752563446933,1498,40,17,curve_shape_lpm_or_linear,0.6872789934481606
high_peak_fast_recovery_flag,meal_hour_sin,0.007585336075690702,0.011669535061916462,0.6500118501246424,0.5156845671157733,-0.015286952645665562,0.030457624797046966,1498,40,17,curve_shape_lpm_or_linear,0.7339345532741752
