subgroup_variable,subgroup_level,outcome,outcome_label,exposure,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value
race_ethnicity,1,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.06628799066301655,0.07316869373994048,-0.9059611054233162,0.36495643950784035,-0.2096986303932999,0.07712264906726679,177,40,15,0.38776621697708036
race_ethnicity,1,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.07855514199659819,0.08293360550300848,-0.9472051952902077,0.34353422854575383,-0.2411050087824948,0.08399472478929843,177,40,15,0.37436422341524456
race_ethnicity,1,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.08671782719366639,0.06530470837262489,1.327895481882554,0.18421263753506564,-0.04127940121667839,0.21471505560401116,399,47,15,0.21449416699288465
race_ethnicity,1,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.018803179635247302,0.10981331878862118,-0.17122858905158309,0.864044028634722,-0.2340372844609448,0.1964309251904502,177,40,15,0.8743302670708497
race_ethnicity,1,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.021601331125821854,0.11705196343649145,-0.18454479952010397,0.8535860856904456,-0.2510231794613451,0.20782051720970138,393,47,15,0.8741544251046731
race_ethnicity,2,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.39972492003882015,0.07206299392834706,5.546881946596204,2.9080894804672218e-08,0.2584814519392599,0.5409683881383804,150,46,15,1.2359380291985692e-06
race_ethnicity,2,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.38254228364491527,0.0715472038587335,5.346711863125029,8.956642777687392e-08,0.2423097640817976,0.5227748032080329,149,45,15,2.5377154536780942e-06
race_ethnicity,2,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3504661375766881,0.04591357186387991,7.633170832705327,2.2904904235237066e-14,0.26047553672348345,0.44045673842989275,303,56,16,1.9469168599951506e-12
race_ethnicity,2,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.46270997541973385,0.09423575580731854,4.910131737743211,9.101522804566414e-07,0.27800789403738957,0.6474120568020781,146,44,15,1.2893823973135753e-05
race_ethnicity,2,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.19890715583500196,0.06115159372948492,3.2526896472216826,0.001143182817483585,0.07905003212521151,0.3187642795447924,297,55,16,0.0026991816523917974
race_ethnicity,3,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.14811149462250223,0.0508016159351336,2.915487861874698,0.0035513292091564775,0.048540327389640384,0.24768266185536408,532,58,15,0.005695527976949067
race_ethnicity,3,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1305862134322305,0.04427718103476745,2.9492892361347764,0.0031850573702125002,0.04380293860408631,0.21736948826037472,531,58,15,0.0052063437782319715
race_ethnicity,3,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.13515328605934027,0.03627766276251371,3.7255235251537853,0.00019491027281429033,0.0640490670448134,0.20625750507386714,1083,60,15,0.0007203205734441165
race_ethnicity,3,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.18959509467273206,0.05992402199831221,3.16392472251065,0.0015565705036712364,0.07214401155604012,0.307046177789424,525,57,15,0.0031502022098108353
race_ethnicity,3,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.10374818562152477,0.03610538543959807,2.873482289645921,0.004059738391925566,0.03298163015991255,0.17451474108313697,1062,60,15,0.006162102916315591
race_ethnicity,4,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2714255747518591,0.061133365367609126,4.4398925712614385,9.000379472226847e-06,0.15160417863134518,0.391246970872373,285,52,15,8.500358390436466e-05
race_ethnicity,4,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2539279063007413,0.05530691933928319,4.59125023295923,4.405986948294681e-06,0.14552634439574624,0.36232946820573636,281,52,15,5.3501270086435416e-05
race_ethnicity,4,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.14803362468811485,0.05887036987697641,2.514569298570167,0.01191778782456657,0.032647699729241086,0.2634195496469886,608,56,15,0.01633890266271223
race_ethnicity,4,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.33385824464159525,0.07470801040472266,4.468841330841952,7.864443901502271e-06,0.18743054424833883,0.48028594503485167,278,52,15,8.355971645346164e-05
race_ethnicity,4,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2391379084559921,0.07376861698007457,3.241729589705944,0.0011880669381614725,0.09455141917504592,0.3837243977369382,583,56,15,0.002729342966046626
race_ethnicity,6,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.13861753499298896,0.07132202694182044,1.9435445252567418,0.05195040109692626,-0.0011736378129791059,0.278408707798957,123,43,15,0.06133033462831572
race_ethnicity,6,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.17128668724299118,0.0806228942997028,2.1245415304275745,0.03362488714137307,0.013265814415573673,0.3293075600704087,122,43,15,0.041421962420532046
race_ethnicity,6,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2102005617877334,0.06688064549213014,3.142920649778533,0.0016727117821568863,0.07911449662315831,0.3412866269523085,247,50,15,0.003306523290310124
race_ethnicity,6,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.023692011169964777,0.10354184972291623,0.22881579992404927,0.8190120859871346,-0.17925001428695103,0.2266340366268806,120,42,15,0.848975942791542
race_ethnicity,6,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2672615717838627,0.11630698139940664,2.29789792984195,0.021567599149150914,0.03929988824102568,0.49522325532669964,241,50,15,0.026959498936438644
race_ethnicity,7,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2890245650514501,0.22576003724709745,1.2802290811775014,0.20046458104768522,-0.1534651079528609,0.7315142380557611,46,27,14,0.22719319185404327
race_ethnicity,7,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3342469211039187,0.25395646464498295,1.3161583485231507,0.18812090028009096,-0.1635077496002479,0.8320015918080852,46,27,14,0.21608481788929365
race_ethnicity,7,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1293524776346692,0.1420595606431768,0.9105510185236665,0.362531988650586,-0.14908426122595733,0.40778921649529576,101,46,15,0.38776621697708036
race_ethnicity,7,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3200261723243809,0.2771503199689712,1.1547025179700674,0.24821226805623856,-0.22318845481480265,0.8632407994635645,46,27,14,0.2776058261155299
race_ethnicity,7,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.05924423627364561,0.20100383989467765,-0.2947418134135572,0.7681911188164251,-0.4532117624672138,0.33472328991992256,95,45,15,0.8061264827085942
diet_source_proxy,high_carb_energy,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.22497962657910736,0.06107084732074125,3.6839119882769076,0.00022968157392956004,0.10528076583045451,0.3446784873277602,305,60,20,0.0007584256767923763
diet_source_proxy,high_carb_energy,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.20956856083674535,0.059317587784457046,3.5329919618150503,0.00041088496424220814,0.09330608877920955,0.32583103289428117,304,60,20,0.0011266200632447643
diet_source_proxy,high_carb_energy,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.27593590205137547,0.0672916787095244,4.100594714578278,4.12089727478355e-05,0.14404421178070764,0.4078275923220433,660,60,21,0.0002415358420786556
diet_source_proxy,high_carb_energy,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.17766127683121002,0.05992147483390372,2.9649016037016636,0.0030277975554505025,0.060215186156758735,0.2951073675056613,300,60,20,0.005147255844265854
diet_source_proxy,high_carb_energy,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.29278831602901256,0.056738892138329534,5.16027551816123,2.465866757621643e-07,0.18158008743788667,0.40399654462013845,642,60,21,4.540992933859961e-06
diet_source_proxy,lower_carb_energy,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1651422322091589,0.041169507214084584,4.011275416788612,6.0391608632427685e-05,0.08444999806955313,0.2458344663487647,1008,60,20,0.0003019580431621384
diet_source_proxy,lower_carb_energy,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.15362489242857225,0.037230055585282563,4.126367527887919,3.685381328803616e-05,0.08065398348141842,0.22659580137572607,1002,60,20,0.0002415358420786556
diet_source_proxy,lower_carb_energy,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1264170736221396,0.030573723980756418,4.134827464973141,3.552214072029002e-05,0.06649257461985703,0.1863415726244222,2081,60,20,0.0002415358420786556
diet_source_proxy,lower_carb_energy,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.21576135371817085,0.05255081637436308,4.105765972903706,4.029773081298156e-05,0.1127617536244192,0.3187609538119225,992,60,20,0.0002415358420786556
diet_source_proxy,lower_carb_energy,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.10172227496410358,0.03187308049723383,3.1914792476030596,0.0014154627892640082,0.03925103718952527,0.16419351273868188,2029,60,20,0.0030078584271860174
