"confounder_exposure_shift_sd","confounder_outcome_effect_sd","outcome","observed_psi","bias_sd_units","bias_adjusted_psi","would_cross_null","minimum_bias_product_to_null"
0.3,0.5,"msi_no_bmi",0.191271020174585,0.15,0.188771020174585,FALSE,0.191271020174585
0.5,0.5,"msi_no_bmi",0.191271020174585,0.25,0.188771020174585,FALSE,0.191271020174585
0.8,0.5,"msi_no_bmi",0.191271020174585,0.4,0.188771020174585,FALSE,0.191271020174585
1,0.5,"msi_no_bmi",0.191271020174585,0.5,0.188771020174585,FALSE,0.191271020174585
0.05,0.8,"msi_no_bmi",0.191271020174585,0.04,0.188771020174585,FALSE,0.191271020174585
0.1,0.8,"msi_no_bmi",0.191271020174585,0.08,0.188771020174585,FALSE,0.191271020174585
0.2,0.8,"msi_no_bmi",0.191271020174585,0.16,0.188771020174585,FALSE,0.191271020174585
0.3,0.8,"msi_no_bmi",0.191271020174585,0.24,0.188771020174585,FALSE,0.191271020174585
0.5,0.8,"msi_no_bmi",0.191271020174585,0.4,0.188771020174585,FALSE,0.191271020174585
0.8,0.8,"msi_no_bmi",0.191271020174585,0.64,0.188771020174585,FALSE,0.191271020174585
1,0.8,"msi_no_bmi",0.191271020174585,0.8,0.188771020174585,FALSE,0.191271020174585
0.05,1,"msi_no_bmi",0.191271020174585,0.05,0.188771020174585,FALSE,0.191271020174585
0.1,1,"msi_no_bmi",0.191271020174585,0.1,0.188771020174585,FALSE,0.191271020174585
0.2,1,"msi_no_bmi",0.191271020174585,0.2,0.188771020174585,FALSE,0.191271020174585
0.3,1,"msi_no_bmi",0.191271020174585,0.3,0.188771020174585,FALSE,0.191271020174585
0.5,1,"msi_no_bmi",0.191271020174585,0.5,0.188771020174585,FALSE,0.191271020174585
0.8,1,"msi_no_bmi",0.191271020174585,0.8,0.188771020174585,FALSE,0.191271020174585
1,1,"msi_no_bmi",0.191271020174585,1,0.188771020174585,FALSE,0.191271020174585
0.05,0.05,"ln_HOMA_IR",0.218932645837139,0.0025,0.216432645837139,FALSE,0.218932645837139
0.1,0.05,"ln_HOMA_IR",0.218932645837139,0.005,0.216432645837139,FALSE,0.218932645837139
0.2,0.05,"ln_HOMA_IR",0.218932645837139,0.01,0.216432645837139,FALSE,0.218932645837139
0.3,0.05,"ln_HOMA_IR",0.218932645837139,0.015,0.216432645837139,FALSE,0.218932645837139
0.5,0.05,"ln_HOMA_IR",0.218932645837139,0.025,0.216432645837139,FALSE,0.218932645837139
0.8,0.05,"ln_HOMA_IR",0.218932645837139,0.04,0.216432645837139,FALSE,0.218932645837139
1,0.05,"ln_HOMA_IR",0.218932645837139,0.05,0.216432645837139,FALSE,0.218932645837139
0.05,0.1,"ln_HOMA_IR",0.218932645837139,0.005,0.216432645837139,FALSE,0.218932645837139
0.1,0.1,"ln_HOMA_IR",0.218932645837139,0.01,0.216432645837139,FALSE,0.218932645837139
0.2,0.1,"ln_HOMA_IR",0.218932645837139,0.02,0.216432645837139,FALSE,0.218932645837139
0.3,0.1,"ln_HOMA_IR",0.218932645837139,0.03,0.216432645837139,FALSE,0.218932645837139
0.5,0.1,"ln_HOMA_IR",0.218932645837139,0.05,0.216432645837139,FALSE,0.218932645837139
0.8,0.1,"ln_HOMA_IR",0.218932645837139,0.08,0.216432645837139,FALSE,0.218932645837139
1,0.1,"ln_HOMA_IR",0.218932645837139,0.1,0.216432645837139,FALSE,0.218932645837139
0.05,0.2,"ln_HOMA_IR",0.218932645837139,0.01,0.216432645837139,FALSE,0.218932645837139
0.1,0.2,"ln_HOMA_IR",0.218932645837139,0.02,0.216432645837139,FALSE,0.218932645837139
0.2,0.2,"ln_HOMA_IR",0.218932645837139,0.04,0.216432645837139,FALSE,0.218932645837139
0.3,0.2,"ln_HOMA_IR",0.218932645837139,0.06,0.216432645837139,FALSE,0.218932645837139
