cluster,minute,feature_derived_delta
delayed_peak (2),72.0,35.1099161286581
delayed_peak (2),73.0,35.22668822251396
delayed_peak (2),74.0,35.33721632833395
delayed_peak (2),75.0,35.441617874939155
delayed_peak (2),76.0,35.540008522062855
delayed_peak (2),77.0,35.63250218446656
delayed_peak (2),78.0,35.719211055745376
delayed_peak (2),79.0,35.80024563182684
delayed_peak (2),80.0,35.87571473416698
delayed_peak (2),81.0,35.94572553264721
delayed_peak (2),82.0,36.01038356817594
delayed_peak (2),83.0,36.06979277499851
delayed_peak (2),84.0,36.12405550271908
delayed_peak (2),85.0,36.173272538037985
delayed_peak (2),86.0,36.21754312620824
delayed_peak (2),87.0,36.25696499221454
delayed_peak (2),88.0,36.291634361678334
delayed_peak (2),89.0,36.32164598149223
delayed_peak (2),90.0,36.347093140187276
delayed_peak (2),91.0,36.36806768803631
delayed_peak (2),92.0,36.38466005689678
delayed_peak (2),93.0,36.396959279796086
delayed_peak (2),94.0,36.40505301026295
delayed_peak (2),95.0,36.40902754140769
delayed_peak (2),96.0,36.40896782475474
delayed_peak (2),97.0,36.404957488830355
delayed_peak (2),98.0,36.39707885750869
delayed_peak (2),99.0,36.38541296811917
delayed_peak (2),100.0,36.370039589318196
delayed_peak (2),101.0,35.81922556139632
delayed_peak (2),102.0,34.788702871811765
delayed_peak (2),103.0,33.784580842134524
delayed_peak (2),104.0,32.806348635208806
delayed_peak (2),105.0,31.853495825182808
delayed_peak (2),106.0,30.92551311503675
delayed_peak (2),107.0,30.02189299855685
delayed_peak (2),108.0,29.14213036995749
delayed_peak (2),109.0,28.28572308419034
delayed_peak (2),110.0,27.452172470823136
delayed_peak (2),111.0,26.64098380422232
delayed_peak (2),112.0,25.851666732632527
delayed_peak (2),113.0,25.08373566861132
delayed_peak (2),114.0,24.3367101431496
delayed_peak (2),115.0,23.6101151256863
delayed_peak (2),116.0,22.903481312110063
delayed_peak (2),117.0,22.216345382730363
delayed_peak (2),118.0,21.54825023209565
delayed_peak (2),119.0,20.898745172436303
delayed_peak (2),120.0,20.26738611241536
delayed_peak (2),121.0,19.653735712779742
delayed_peak (2),122.0,19.05736352041885
delayed_peak (2),123.0,18.477846082256143
delayed_peak (2),124.0,17.91476704032134
delayed_peak (2),125.0,17.36771720927778
delayed_peak (2),126.0,16.836294637608944
delayed_peak (2),127.0,16.320104653602105
delayed_peak (2),128.0,15.818759897203583
delayed_peak (2),129.0,15.33188033876019
delayed_peak (2),130.0,14.859093285604512
delayed_peak (2),131.0,14.400033377387468
delayed_peak (2),132.0,13.954342571010299
delayed_peak (2),133.0,13.521670115959315
delayed_peak (2),134.0,13.10167252080054
delayed_peak (2),135.0,12.694013511547352
delayed_peak (2),136.0,12.298363982572742
delayed_peak (2),137.0,11.91440194069812
delayed_peak (2),138.0,11.541812443053217
delayed_peak (2),139.0,11.18028752926617
delayed_peak (2),140.0,10.829526148509029
delayed_peak (2),141.0,10.489234081892153
delayed_peak (2),142.0,10.159123860670693
delayed_peak (2),143.0,9.838914680697602
delayed_peak (2),144.0,9.528332313530631
delayed_peak (2),145.0,9.227109014574975
delayed_peak (2),146.0,8.934983428618914
delayed_peak (2),147.0,8.651700493096813
delayed_peak (2),148.0,8.377011339392034
delayed_peak (2),149.0,8.110673192471708
delayed_peak (2),150.0,7.852449269125857
delayed_peak (2),151.0,7.602108675064868
