source_table,outcome,term,B_success,boot_mean,boot_ci_low,boot_ci_high,positive_probability,left_out_subject,estimate,se,p_value,n,n_clusters
cg_influence,peak_delta_2h,carbs_10g,,,,,,27.0,2.410902104695425,0.2890000198441749,7.290788339487025e-17,1463.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,27.0,17.037424440427245,4.068698399733668,2.8212039720194422e-05,1463.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,27.0,0.6314584531846635,0.3852743489177323,0.1012166137371595,1463.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,29.0,0.1790073940746192,0.0205237269675511,2.733953383307404e-18,1468.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,29.0,1.0973471101661738,0.2770900835566619,7.487008704915176e-05,1468.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,29.0,0.0423288258038211,0.0277270875312265,0.1268546385214892,1468.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,29.0,2.468572586046543,0.3046983698394294,5.41996692342532e-16,1468.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,29.0,17.758559031195283,4.018894276415806,9.926540743429288e-06,1468.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,29.0,0.4974631536858879,0.4005717198330233,0.2142797843190089,1468.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,30.0,0.1827055840013183,0.019970309601252,5.753703812448053e-20,1471.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,30.0,0.9614250745235398,0.2583880617992781,0.0001985477083615,1471.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,30.0,0.0427153686103594,0.0285533021873299,0.1346570453595228,1471.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,30.0,2.535897994683056,0.2972352217135977,1.443122779452039e-17,1471.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,30.0,15.71406665978422,3.7507475870792297,2.794680962606468e-05,1471.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,30.0,0.5773826166214558,0.402893791241584,0.1518324356439894,1471.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,31.0,0.1800169934511024,0.0200641569532508,2.9099696848880564e-19,1444.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,31.0,1.039118064679876,0.2751747474781338,0.0001592317539316,1444.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,31.0,0.0409205843029909,0.0270074501669475,0.1297321140450743,1444.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,31.0,2.474478245125801,0.3008806204472845,1.9662960782923758e-16,1444.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,31.0,16.771451791638153,4.005564070944485,2.826176479978944e-05,1444.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,31.0,0.4868092470010771,0.3941164021820696,0.2167592258993186,1444.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,33.0,0.1814328636223815,0.0201024864264903,1.7904962269224817e-19,1465.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,33.0,1.084493279877647,0.2660389411282315,4.572934115386227e-05,1465.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,33.0,0.0434348184692732,0.0272044291810127,0.110353039081883,1465.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,33.0,2.559090318576823,0.2905450798661195,1.2751872637967861e-18,1465.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,33.0,17.5231266429152,3.873763842754009,6.081374948122038e-06,1465.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,33.0,0.4915443059830008,0.3925315987512774,0.210481926496342,1465.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,34.0,0.180720960530139,0.0199744272536479,1.4612275137014109e-19,1449.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,34.0,1.0534372994998324,0.2822412440229165,0.000189663787271,1449.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,34.0,0.0324854215466353,0.0267387691296728,0.224397230404664,1449.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,34.0,2.4876770226238296,0.2997941808334176,1.0592353432008162e-16,1449.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,34.0,16.924683366368416,4.141023096880427,4.368407520264145e-05,1449.0,39.0
