source_table,subgroup_variable,subgroup_level,outcome,outcome_label,exposure,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value
nhanes_effect_mod,race_ethnicity,4,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2539279063007413,0.0553069193392831,4.59125023295923,4.405986948294681e-06,0.1455263443957462,0.3623294682057363,281,52,15,5.3501270086435416e-05
nhanes_effect_mod,race_ethnicity,4,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1480336246881148,0.0588703698769764,2.514569298570167,0.0119177878245665,0.032647699729241,0.2634195496469886,608,56,15,0.0163389026627122
nhanes_effect_mod,race_ethnicity,4,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3338582446415952,0.0747080104047226,4.468841330841952,7.864443901502271e-06,0.1874305442483388,0.4802859450348516,278,52,15,8.355971645346164e-05
nhanes_effect_mod,race_ethnicity,4,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2391379084559921,0.0737686169800745,3.241729589705944,0.0011880669381614,0.0945514191750459,0.3837243977369382,583,56,15,0.0027293429660466
nhanes_effect_mod,race_ethnicity,6,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1386175349929889,0.0713220269418204,1.9435445252567416,0.0519504010969262,-0.0011736378129791,0.278408707798957,123,43,15,0.0613303346283157
nhanes_effect_mod,race_ethnicity,6,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1712866872429911,0.0806228942997028,2.1245415304275745,0.033624887141373,0.0132658144155736,0.3293075600704087,122,43,15,0.041421962420532
nhanes_effect_mod,race_ethnicity,6,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2102005617877334,0.0668806454921301,3.142920649778533,0.0016727117821568,0.0791144966231583,0.3412866269523085,247,50,15,0.0033065232903101
nhanes_effect_mod,race_ethnicity,6,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.0236920111699647,0.1035418497229162,0.2288157999240492,0.8190120859871346,-0.179250014286951,0.2266340366268806,120,42,15,0.848975942791542
nhanes_effect_mod,race_ethnicity,6,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2672615717838627,0.1163069813994066,2.29789792984195,0.0215675991491509,0.0392998882410256,0.4952232553266996,241,50,15,0.0269594989364386
nhanes_effect_mod,race_ethnicity,7,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2890245650514501,0.2257600372470974,1.2802290811775014,0.2004645810476852,-0.1534651079528609,0.7315142380557611,46,27,14,0.2271931918540432
nhanes_effect_mod,race_ethnicity,7,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3342469211039187,0.2539564646449829,1.3161583485231507,0.1881209002800909,-0.1635077496002479,0.8320015918080852,46,27,14,0.2160848178892936
nhanes_effect_mod,race_ethnicity,7,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1293524776346692,0.1420595606431768,0.9105510185236664,0.362531988650586,-0.1490842612259573,0.4077892164952957,101,46,15,0.3877662169770803
nhanes_effect_mod,race_ethnicity,7,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3200261723243809,0.2771503199689712,1.1547025179700674,0.2482122680562385,-0.2231884548148026,0.8632407994635645,46,27,14,0.2776058261155299
nhanes_effect_mod,race_ethnicity,7,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.0592442362736456,0.2010038398946776,-0.2947418134135572,0.7681911188164251,-0.4532117624672138,0.3347232899199225,95,45,15,0.8061264827085942
nhanes_effect_mod,diet_source_proxy,high_carb_energy,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2249796265791073,0.0610708473207412,3.683911988276908,0.0002296815739295,0.1052807658304545,0.3446784873277602,305,60,20,0.0007584256767923
nhanes_effect_mod,diet_source_proxy,high_carb_energy,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2095685608367453,0.059317587784457,3.5329919618150503,0.0004108849642422,0.0933060887792095,0.3258310328942811,304,60,20,0.0011266200632447
nhanes_effect_mod,diet_source_proxy,high_carb_energy,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2759359020513754,0.0672916787095244,4.100594714578278,4.12089727478355e-05,0.1440442117807076,0.4078275923220433,660,60,21,0.0002415358420786
nhanes_effect_mod,diet_source_proxy,high_carb_energy,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.17766127683121,0.0599214748339037,2.964901603701664,0.0030277975554505,0.0602151861567587,0.2951073675056613,300,60,20,0.0051472558442658
nhanes_effect_mod,diet_source_proxy,high_carb_energy,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2927883160290125,0.0567388921383295,5.16027551816123,2.465866757621643e-07,0.1815800874378866,0.4039965446201384,642,60,21,4.540992933859961e-06
nhanes_effect_mod,diet_source_proxy,lower_carb_energy,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1651422322091589,0.0411695072140845,4.011275416788612,6.0391608632427685e-05,0.0844499980695531,0.2458344663487647,1008,60,20,0.0003019580431621
nhanes_effect_mod,diet_source_proxy,lower_carb_energy,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1536248924285722,0.0372300555852825,4.126367527887919,3.685381328803616e-05,0.0806539834814184,0.226595801375726,1002,60,20,0.0002415358420786
nhanes_effect_mod,diet_source_proxy,lower_carb_energy,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1264170736221396,0.0305737239807564,4.134827464973141,3.552214072029002e-05,0.066492574619857,0.1863415726244222,2081,60,20,0.0002415358420786
nhanes_effect_mod,diet_source_proxy,lower_carb_energy,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2157613537181708,0.052550816374363,4.105765972903706,4.029773081298156e-05,0.1127617536244192,0.3187609538119225,992,60,20,0.0002415358420786
nhanes_effect_mod,diet_source_proxy,lower_carb_energy,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1017222749641035,0.0318730804972338,3.19147924760306,0.001415462789264,0.0392510371895252,0.1641935127386818,2029,60,20,0.003007858427186
