outcome,exposure,n,beta,se,p_value,effect,effect_low,effect_high,outcome_label,pollutant,label,group,q_value,effect_CI,p_value_fmt,q_value_fmt
ln_HOMA_IR,ln_URXBPH,1982,0.017682605106380308,0.027732914150873717,0.5289117279546125,1.7839867939413612,-3.837016984168129,7.733554458929448,ln(HOMA-IR),URXBPH,BPA,Bisphenols,0.6170636826137146,"1.784 (-3.837, 7.734)",0.529,0.617
ln_HOMA_IR,ln_URXBPF,1981,0.014205678075785065,0.020905518898655693,0.5023890413082124,1.4307058209596324,-2.821173842649438,5.868618609156373,ln(HOMA-IR),URXBPF,BPF,Bisphenols,0.6170636826137146,"1.431 (-2.821, 5.869)",0.502,0.617
ln_HOMA_IR,ln_URXBPS,1981,0.024306669376863748,0.020720902572004665,0.25065846444337836,2.460448453431896,-1.7974668795141424,6.902980643056078,ln(HOMA-IR),URXBPS,BPS,Bisphenols,0.4895683291593269,"2.460 (-1.797, 6.903)",0.251,0.490
ln_HOMA_IR,ln_URXMEP,1983,-0.025056409072787764,0.01875842154826322,0.1923903155867967,-2.4745102747804726,-6.150832519524974,1.3458233193456293,ln(HOMA-IR),URXMEP,MEP,Phthalates,0.4489107363691923,"-2.475 (-6.151, 1.346)",0.192,0.449
ln_HOMA_IR,ln_URXMBP,1983,0.00246328059771947,0.024727739210592358,0.9213589346617909,0.2466316966001525,-4.704652591936009,5.455171105902368,ln(HOMA-IR),URXMBP,MBP,Phthalates,0.9213589346617909,"0.247 (-4.705, 5.455)",0.921,0.921
ln_HOMA_IR,ln_URXMIB,1983,0.03101544883771167,0.028854518617381492,0.2915994618175359,3.1501439261765407,-2.769948760230634,9.43069613069325,ln(HOMA-IR),URXMIB,MiBP,Phthalates,0.4895683291593269,"3.150 (-2.770, 9.431)",0.292,0.490
ln_HOMA_IR,ln_URXMHP,1983,-0.015246679403515203,0.03321801272589276,0.6497858810255472,-1.5131037252669288,-7.9916354368688935,5.421597089410812,ln(HOMA-IR),URXMHP,MEHP,Phthalates,0.6997694103352047,"-1.513 (-7.992, 5.422)",0.650,0.700
ln_HOMA_IR,ln_URXMHH,1983,0.1043888142898297,0.023766260872931835,1.4563866716909435e-4,11.003196731211196,5.728662209692037,16.54086438841236,ln(HOMA-IR),URXMHH,MEHHP,Phthalates,0.002038941340367321,"11.003 (5.729, 16.541)",<0.001,0.002
ln_HOMA_IR,ln_URXMOH,1983,0.08726243133145764,0.025228849354472005,0.0017542904031256834,9.118300275484348,3.62241445038618,14.9056747824736,ln(HOMA-IR),URXMOH,MEOHP,Phthalates,0.008186688547919856,"9.118 (3.622, 14.906)",0.002,0.008
ln_HOMA_IR,ln_URXECP,1983,0.09288947527299363,0.02505981179269044,9.171530780304624e-4,9.73404453122846,4.243234721242728,15.514072077502373,ln(HOMA-IR),URXECP,MECPP,Phthalates,0.006420071546213236,"9.734 (4.243, 15.514)",<0.001,0.006
ln_HOMA_IR,ln_URXMZP,1983,0.039032854016040744,0.028969682422855234,0.18866430210244012,3.9804644847469595,-2.0104014655904057,10.337598644891388,ln(HOMA-IR),URXMZP,MBzP,Phthalates,0.4489107363691923,"3.980 (-2.010, 10.338)",0.189,0.449
ln_HOMA_IR,ln_URXCOP,1983,0.046649926418969145,0.019875944477608494,0.026224644619032334,4.775515347155457,0.5953552164604137,9.129378713756896,ln(HOMA-IR),URXCOP,MCOP,Plasticizers,0.09178625616661316,"4.776 (0.595, 9.129)",0.026,0.092
ln_HOMA_IR,ln_URXCNP,1983,0.022855957430548197,0.03131828757268112,0.47157679363214633,2.311915622061833,-4.045555777834487,9.090601932097409,ln(HOMA-IR),URXCNP,MCNP,Plasticizers,0.6170636826137146,"2.312 (-4.046, 9.091)",0.472,0.617
ln_HOMA_IR,ln_URXMNP,1983,0.03112509898275425,0.03040335849189236,0.31472249731671015,3.161454974536926,-3.0673092055313655,9.790471153109692,ln(HOMA-IR),URXMNP,MNP,Plasticizers,0.4895683291593269,"3.161 (-3.067, 9.790)",0.315,0.490
ln_HOMA_IR,ln_URXMONP,613,NA,NA,NA,NA,NA,NA,ln(HOMA-IR),URXMONP,MONP,Plasticizers,NA,"NA (NA, NA)",NA,NA
TyG,ln_URXBPH,1968,0.027526760467334127,0.0237080240521829,0.25541520279256114,0.027526760467334127,-0.02103692531901076,0.07609044625367901,TyG index,URXBPH,BPA,Bisphenols,0.5959688065159761,"0.028 (-0.021, 0.076)",0.255,0.596
TyG,ln_URXBPF,1967,-0.008445435948437158,0.01530099692368684,0.5853592994810466,-0.008445435948437158,-0.039788107323504344,0.022897235426630032,TyG index,URXBPF,BPF,Bisphenols,0.8517222175694236,"-0.008 (-0.040, 0.023)",0.585,0.852
TyG,ln_URXBPS,1966,-0.009116834373007228,0.02111468922956334,0.6692103138045471,-0.009116834373007228,-0.0523683145876319,0.03413464584161745,TyG index,URXBPS,BPS,Bisphenols,0.8517222175694236,"-0.009 (-0.052, 0.034)",0.669,0.852
TyG,ln_URXMEP,1969,-0.02132149590468929,0.017416730362360862,0.23107928440937942,-0.02132149590468929,-0.05699805076567136,0.014355058956292778,TyG index,URXMEP,MEP,Phthalates,0.5959688065159761,"-0.021 (-0.057, 0.014)",0.231,0.596
