chemical_label,GeneSymbol,GeneID,mechanism_panel,n_interactions,n_pubmed_total,organisms,interaction_directions,example_interactions,pubmed_ids
Diethylhexyl Phthalate,PGR,5241,Other CTD gene,6,7,Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Cyclic AMP inhibits the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of PGR mRNA]] | [diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of PGR mRNA] | Diethylhexyl Phthalate results in decreased expression of PGR mRNA,37552060|22147016|28286118|33316053|25607892|36435455
Diethylhexyl Phthalate,PTGES,9536,Other CTD gene,6,7,Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of PTGES mRNA]] | Diethylhexyl Phthalate results in decreased expression of PTGES protein | Diethylhexyl Phthalate results in increased expression of PTGES mRNA,40456493|31163220|26845775|33754040|31199487
Diethylhexyl Phthalate,TFRC,7037,Other CTD gene,6,7,Macaca mulatta; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in decreased expression of TFRC mRNA | Apigenin inhibits the reaction [Diethylhexyl Phthalate results in increased expression of TFRC protein] | Diethylhexyl Phthalate results in increased expression of TFRC protein,27614199|35500696|33754040|36438553|39150890|33789034
Diethylhexyl Phthalate,TRP53,22059,Other CTD gene,6,7,Mus musculus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate inhibits the reaction [Selenomethionine results in decreased expression of TRP53 protein] | Diethylhexyl Phthalate inhibits the reaction [Sodium Selenite results in decreased expression of TRP53 protein] | Diethylhexyl Phthalate results in decreased expression of TRP53 mRNA,20659492|28771232|30691201|32500380
Diethylhexyl Phthalate,CCNA1,8900,Other CTD gene,5,7,Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of CCNA1 mRNA | [bisphenol A co-treated with Diethylhexyl Phthalate] results in decreased expression of CCNA1 mRNA | Diethylhexyl Phthalate results in increased expression of CCNA1 mRNA,31163220|22828881|25975992|28042535|33162236|34319233|30755103
Diethylhexyl Phthalate,CYP3A11,13112,Other CTD gene,5,7,Mus musculus,decrease / inhibition; increase / activation,"[bisphenol A co-treated with Diethylhexyl Phthalate co-treated with Tetrachlorodibenzodioxin co-treated with 2,4,5,2',4',5'-hexachlorobiphenyl] results in increased expression of CYP3A11 mRNA | [Dietary Fats co-treated with Dietary Sucrose] inhibits the reaction [[bisphenol A co-treated with Diethylhexyl Phthalate co-treated with Tetrachlorodibenzodioxin co-treated with 2,4,5,2',4',5'-hexachlorobiphenyl] results in increased expression of CYP3A11 mRNA] | [Dietary Sucrose co-treated with Dietary Fats co-treated with bisphenol A co-treated with Diethylhexyl Phthalate co-treated with Tetrachlorodibenzodioxin co-treated with 2,4,5,2',4',5'-hexachlorobiphenyl] results in decreased expression of CYP3A11 mRNA",30722647|19245819|19850644|26519955
Diethylhexyl Phthalate,EPHX2,2053,Other CTD gene,5,7,Homo sapiens; Mus musculus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of EPHX2 mRNA | Diethylhexyl Phthalate results in increased expression of EPHX2 mRNA | Diethylhexyl Phthalate results in increased expression of EPHX2 protein,31163220|19850644|33754040|3318844|3621371|28433925
Diethylhexyl Phthalate,FABP5,2171,Other CTD gene,5,7,Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in increased expression of FABP5 mRNA | Diethylhexyl Phthalate results in decreased expression of FABP5 mRNA | PPARA protein promotes the reaction [Diethylhexyl Phthalate results in increased expression of FABP5 mRNA],28412506|28085963|34319233|35550907|19850644|31199487
Diethylhexyl Phthalate,FOS,2353,Other CTD gene,5,7,Homo sapiens; Macaca mulatta; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of FOS mRNA | Diethylhexyl Phthalate results in increased expression of FOS mRNA,31163220|29505797|28085963|34319233|33754040|35716406|9398495
Diethylhexyl Phthalate,FOSB,2354,Other CTD gene,5,7,Macaca mulatta; Mus musculus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in decreased expression of FOSB mRNA | Diethylhexyl Phthalate inhibits the reaction [[Streptozocin co-treated with Dietary Fats] results in decreased expression of FOSB mRNA] | Diethylhexyl Phthalate results in increased expression of FOSB mRNA,29505797|33484791|28085963|33754040|34319233|39150890
Diethylhexyl Phthalate,HEY2,23493,Other CTD gene,5,7,Mus musculus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of HEY2 mRNA | Diethylhexyl Phthalate results in decreased expression of HEY2 protein | Verapamil promotes the reaction [Diethylhexyl Phthalate results in decreased expression of HEY2 mRNA],29377175|31086358
