outcome,outcome_label,model,term,estimate,se,z,p_value,ci_low,ci_high,n,n_subjects,unit,q_value,estimate_CI
high_iauc_top_quartile,High iAUC top quartile,base_interaction,meal_hour_sin,0.07962179797279748,0.03210161686867542,2.4803049110741826,0.013127007575134887,0.016702628910193654,0.1425409670354013,1498,40,risk difference,0.024234475523325943,"0.080 (0.017, 0.143)"
high_iauc_top_quartile,High iAUC top quartile,base_interaction,meal_hour_cos,0.014685598512513665,0.026174315695648657,0.5610690527032601,0.5747504642212582,-0.036616060250957705,0.06598725727598503,1498,40,risk difference,0.6085593150578028,"0.015 (-0.037, 0.066)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,Intercept,0.20468126785751528,0.03826404757304151,5.349179735018965,8.835376295234334e-08,0.12968373461435392,0.27967880110067667,1480,39,risk difference,5.783155393244292e-07,"0.205 (0.130, 0.280)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,carbs_10g,0.026630308510510403,0.0050239971508579595,5.30062173820355,1.1540898005176675e-07,0.016783274094828805,0.036477342926192,1480,39,risk difference,6.391881972097851e-07,"0.027 (0.017, 0.036)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,protein_10g,-0.022576563154349017,0.005751727868452234,-3.925179297542858,8.666516174008313e-05,-0.0338499497765154,-0.01130317653218264,1480,39,risk difference,0.00022285327304592803,"-0.023 (-0.034, -0.011)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,fat_10g,0.006993220358609216,0.010146158555615126,0.6892480853986853,0.4906671614959943,-0.01289325041039643,0.026879691127614864,1480,39,risk difference,0.5435082404263322,"0.007 (-0.013, 0.027)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,fiber_5g,-0.02035796840309561,0.009350969875440132,-2.1770969936032865,0.029473331331610973,-0.03868586935895827,-0.0020300674472329486,1480,39,risk difference,0.04613217077991282,"-0.020 (-0.039, -0.002)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,msi_core_centered,0.14020688335980647,0.035389961059520234,3.9617699246405214,7.439621273582185e-05,0.07084255968314682,0.20957120703646612,1480,39,risk difference,0.0001989443604177337,"0.140 (0.071, 0.210)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,carbs_x_msi,0.0033979887046404105,0.004634488006938108,0.7331961372115791,0.46343881098822287,-0.00568560778895828,0.012481585198239102,1480,39,risk difference,0.5213686623617507,"0.003 (-0.006, 0.012)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,baseline_glucose_z,-0.03952835828498686,0.016571940380092964,-2.3852582967574687,0.017067133459692525,-0.07200936142996907,-0.007047355140004652,1480,39,risk difference,0.029971551441411264,"-0.040 (-0.072, -0.007)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,meal_hour_sin,0.07697060698980718,0.03127712653222678,2.4609232216552743,0.013858001869233933,0.01566743898664269,0.13827377499297167,1480,39,risk difference,0.02494440336462108,"0.077 (0.016, 0.138)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,meal_hour_cos,-0.019514174703553655,0.029413306506440105,-0.6634471612119156,0.5070442097390148,-0.07716425545617625,0.03813590604906895,1480,39,risk difference,0.553139137897107,"-0.020 (-0.077, 0.038)"
high_iauc_top_quartile,High iAUC top quartile,macro_context_interaction,activity_calories_pre30_z,-0.02255485606893315,0.017739279860567933,-1.2714640191831914,0.20356361997018269,-0.057323844595646295,0.012214132457779997,1480,39,risk difference,0.24841662098056191,"-0.023 (-0.057, 0.012)"
high_peak_top_quartile,High peak top quartile,base_interaction,Intercept,0.19675821818402006,0.037994237774720475,5.178633121966022,2.2351754822238313e-07,0.12228951214556794,0.2712269242224722,1498,40,risk difference,1.0058289670007241e-06,"0.197 (0.122, 0.271)"
high_peak_top_quartile,High peak top quartile,base_interaction,carbs_10g,0.0177840799642333,0.003562740876886048,4.991684935497516,5.985483456456273e-07,0.010801107845536645,0.024767052082929952,1498,40,risk difference,2.394193382582509e-06,"0.018 (0.011, 0.025)"
high_peak_top_quartile,High peak top quartile,base_interaction,msi_core_centered,0.13056764196827922,0.0345246888839408,3.781862956309301,0.0001556590543377318,0.06289925175575525,0.19823603218080318,1498,40,risk difference,0.00036153070684892546,"0.131 (0.063, 0.198)"
high_peak_top_quartile,High peak top quartile,base_interaction,carbs_x_msi,0.006676513521098657,0.004417183909178993,1.5114864262782297,0.13066456435184343,-0.00198116694089217,0.015334193983089484,1498,40,risk difference,0.16504997602338117,"0.007 (-0.002, 0.015)"
high_peak_top_quartile,High peak top quartile,base_interaction,baseline_glucose_z,-0.031399511281194045,0.019174571278376337,-1.6375600176575573,0.10151350932385739,-0.06898167098681167,0.0061826484244235785,1498,40,risk difference,0.137905144741844,"-0.031 (-0.069, 0.006)"
