model,outcome,exposure,component,n,beta,se,statistic,p,error,q
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXMEP,MEP,1306,-5.228769903037871e-4,0.03219365505622827,-0.016241616225015434,0.9873324796244732,NA,0.988197503900428
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXMBP,MnBP,1306,-0.018424448799142117,0.03662451803839114,-0.5030632424931557,0.6248400470161608,NA,0.76369339079753
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXMIB,MiBP,1306,0.06739171279846001,0.03594231245804719,1.8749965761696994,0.08757302521732753,NA,0.21406739497568952
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXMZP,MBzP,1306,0.05594679782900872,0.038698119073943285,1.4457239568183442,0.17613707181732086,NA,0.32291796499842157
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXCOP,MCOP,1306,0.038200328584832105,0.024912238202848994,1.5333960872477315,0.15342163022993854,NA,0.2972413632613253
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXCNP,MCNP,1306,0.027087705548763392,0.031270893267708655,0.8662274312686501,0.4048634566590301,NA,0.5840653145245025
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXMNP,MiNP_or_MNP,1306,-0.03756486797843599,0.022091543389666096,-1.7004184504378244,0.11711592966990939,NA,0.2548626608921197
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXMHP,MEHP,1292,-0.06644365098723141,0.031396512046820875,-2.116274918951047,0.05794314003688295,NA,0.16595817221134723
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXMHH,MEHHP,1292,0.09447822174791093,0.026756036549369915,3.531099293184955,0.004705737942463925,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXMOH,MEOHP,1292,0.08057274877141764,0.027194795131132852,2.962800358778111,0.01291047965358973,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXECP,MECPP,1292,0.08901677302850398,0.026375495125376305,3.3749801702436844,0.0061973676760768105,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXMEP,MEP,1292,-0.012502399939799458,0.04061684250446843,-0.3078131919886194,0.7639744270493246,NA,0.8442587315524859
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXMBP,MnBP,1292,0.002218110558599963,0.0321883893991477,0.06891026857835562,0.9462977659694856,NA,0.9683046907594737
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXMIB,MiBP,1292,0.09704993178165083,0.03982237826689671,2.4370702104029247,0.03299364029978906,NA,0.14517201731907187
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXMZP,MBzP,1292,0.09464909403565304,0.04522621813310499,2.0927925867489496,0.06034842625867172,NA,0.16595817221134723
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXCOP,MCOP,1292,0.06085620251707387,0.027339560631131375,2.2259393023228515,0.04786536680719451,NA,0.16595817221134723
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXCNP,MCNP,1292,0.014780374886735,0.041765511534180226,0.3538894734867303,0.7301116438370203,NA,0.8370855184879697
survey_weighted_standardized_single_monomer,ln_HOMA_IR,ln_URXMNP,MiNP_or_MNP,1292,-4.7870282975445813e-4,0.031634228269261815,-0.01513243268272176,0.988197503900428,NA,0.988197503900428
survey_weighted_standardized_single_monomer,HbA1c,ln_URXMHP,MEHP,2671,-0.012740858049338392,0.020006439220482765,-0.6368378654955347,0.5385348803853618,NA,0.7219581199547148
survey_weighted_standardized_single_monomer,HbA1c,ln_URXMHH,MEHHP,2671,0.0692231257141263,0.022156553460200658,3.1242731789702902,0.010795179894793457,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,HbA1c,ln_URXMOH,MEOHP,2671,0.07991740058712062,0.023476630392616285,3.4041256879971886,0.00672430152759785,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,HbA1c,ln_URXECP,MECPP,2671,0.06600515012294016,0.02534096635866838,2.6046816521802367,0.02627953511775495,NA,0.13603524060955505
