gene_symbol,logFC_MEHP_vs_DMSO,AveExpr,t,pvalue,padj,B
SH3D21,-0.09199125065891954,1.9027143816878687,-0.6224094099594658,0.5654421117947057,0.7481330102344005,-6.985268934170651
PARS2,-0.06565065730038859,2.5669732121726683,-0.6219593948480868,0.5657116147090859,0.7484207549388366,-6.985584007685066
SMARCC2,0.07688502735489658,6.625888536011306,0.6218436241454737,0.5657809607295201,0.7484436690625175,-6.985665032685394
ANKRD13C,0.07239144724189323,4.562160303554562,0.6216073916558797,0.565922480235129,0.7485117782291829,-6.985830326897229
AMY2B,0.20610294265970355,0.6323621940404291,0.6215394389928558,0.5659631929103179,0.7485117782291829,-6.9858778643624895
ALDOB,0.5087329087994753,-0.17989631377646403,0.6214340434217316,0.5660263427141944,0.7485117782291829,-6.985951587102019
TM9SF1,0.058175358967379395,5.970062558172781,0.6213271345533445,0.5660904040234519,0.7485117782291829,-6.9860263577341914
SH3GLB1,-0.060598170848791,7.04444752928213,-0.621323469525292,0.5660926002456215,0.7485117782291829,-6.986028920815826
RABL2B,0.058305626472015724,4.407441251177563,0.6211338746182834,0.5662062203417211,0.7485932070431026,-6.98616149395535
PSMB1,-0.06471383341909924,7.363612208583078,-0.6207549031913072,0.5664333750638144,0.7487639949173975,-6.986426386509762
ZNF681,-0.11827326295334513,1.8016455517289052,-0.6207446965820559,0.5664394937220936,0.7487639949173975,-6.986433518838843
TTC3P1,0.09971994363204247,1.7869678450593875,0.6202480160089758,0.5667372968352413,0.7490539896201265,-6.986780478733803
ZNF248,0.0753700083821638,2.7000068092807243,0.6202051375711058,0.56676301105346,0.7490539896201265,-6.98681042093149
SIKE1,-0.07074391781201651,5.293542411815312,-0.6193711183063222,0.5672633267768988,0.7496463548605977,-6.9873924769619755
AMOT,-0.11112163613364565,3.64802643539251,-0.6189032240790976,0.5675441377817143,0.7499485593944836,-6.987718730990418
NDUFV2,-0.0752633504357395,5.818881804467063,-0.6185454411377349,0.5677589266549804,0.75016347528091,-6.987968067694696
