gene_id,gene_name,log2FoldChange,pvalue,padj,gene_biotype,gene_description,tf_family
ENSG00000086548,CEACAM6,1.18537082116075,1.25437047930535e-30,1.79840309524923e-28,protein_coding,carcinoembryonic antigen related cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818],-
ENSG00000106688,SLC1A1,-1.55650099575662,1.32073964307324e-30,1.87840874996449e-28,protein_coding,solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939],-
ENSG00000104419,NDRG1,3.15032932787848,1.40514543330996e-30,1.98259329471305e-28,protein_coding,N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679],-
ENSG00000101444,AHCY,-1.21062354960888,1.98204889339492e-30,2.77455631706889e-28,protein_coding,adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343],-
ENSG00000115363,EVA1A,-2.56466626716555,2.00899765532523e-30,2.79030939971655e-28,protein_coding,"eva-1 homolog A, regulator of programmed cell death [Source:HGNC Symbol;Acc:HGNC:25816]",-
ENSG00000140988,RPS2,-1.08167851184939,2.48218422913143e-30,3.42079621903089e-28,protein_coding,ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404],-
ENSG00000159399,HK2,1.67303512478761,3.50400016083048e-30,4.79185498917264e-28,protein_coding,hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923],-
ENSG00000142910,TINAGL1,-1.4833948927719,4.83501256514989e-30,6.56159186131564e-28,protein_coding,tubulointerstitial nephritis antigen like 1 [Source:HGNC Symbol;Acc:HGNC:19168],-
ENSG00000275395,FCGBP,3.62810287148979,4.88196320288979e-30,6.57511680461929e-28,protein_coding,Fc fragment of IgG binding protein [Source:HGNC Symbol;Acc:HGNC:13572],-
ENSG00000019505,SYT13,-1.2016642001734,6.75809503373428e-30,9.03348973757353e-28,protein_coding,synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962],-
ENSG00000154856,APCDD1,-1.92577045163231,1.48333939715016e-29,1.9679707315325e-27,protein_coding,APC down-regulated 1 [Source:HGNC Symbol;Acc:HGNC:15718],-
ENSG00000197415,VEPH1,-3.64794920494489,1.55428544582142e-29,2.04682123376394e-27,protein_coding,ventricular zone expressed PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25735],-
ENSG00000128165,ADM2,1.87869885393085,4.48866353100074e-29,5.86760737162729e-27,protein_coding,adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898],-
ENSG00000152952,PLOD2,3.29304051926667,5.27241039098386e-29,6.84181838911759e-27,protein_coding,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]",-
ENSG00000116649,SRM,-2.06142192206438,6.60547881519013e-29,8.50957988235146e-27,protein_coding,spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296],-
ENSG00000196968,FUT11,2.03101657064362,7.57899414889543e-29,9.69347899129949e-27,protein_coding,fucosyltransferase 11 [Source:HGNC Symbol;Acc:HGNC:19233],-
ENSG00000221963,APOL6,1.38493467876992,8.93512680158e-29,1.13463345913207e-26,protein_coding,apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870],-
ENSG00000214814,FER1L6,1.48603366457327,1.05126339271123e-28,1.32548656706527e-26,protein_coding,fer-1 like family member 6 [Source:HGNC Symbol;Acc:HGNC:28065],-
ENSG00000107338,SHB,-1.30429560763903,1.1633858728574e-28,1.45652634138443e-26,protein_coding,SH2 domain containing adaptor protein B [Source:HGNC Symbol;Acc:HGNC:10838],-
ENSG00000115380,EFEMP1,-1.33433826812812,1.21772837058365e-28,1.51390034770882e-26,protein_coding,EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218],-
ENSG00000168631,MUCL3,3.52808588658534,1.9554130291987e-28,2.41412033563156e-26,protein_coding,mucin like 3 [Source:HGNC Symbol;Acc:HGNC:21666],-
ENSG00000143013,LMO4,-1.25159512862976,2.0963575024528e-28,2.57027887438661e-26,protein_coding,LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644],-
ENSG00000204616,TRIM31,1.40542943361733,2.61045474730859e-28,3.17867565052412e-26,protein_coding,tripartite motif containing 31 [Source:HGNC Symbol;Acc:HGNC:16289],-
ENSG00000103534,TMC5,1.4818969965786,2.71894992078313e-28,3.28826474093078e-26,protein_coding,transmembrane channel like 5 [Source:HGNC Symbol;Acc:HGNC:22999],-
ENSG00000180861,LINC01559,1.72988454409363,2.86100631244877e-28,3.43668717721042e-26,lincRNA,long intergenic non-protein coding RNA 1559 [Source:HGNC Symbol;Acc:HGNC:26598],-
ENSG00000115828,QPCT,1.61401989811698,3.26152280775829e-28,3.89150016619644e-26,protein_coding,glutaminyl-peptide cyclotransferase [Source:HGNC Symbol;Acc:HGNC:9753],-
ENSG00000181467,RAP2B,-1.10465253977378,3.90953210389086e-28,4.63357744953145e-26,protein_coding,"RAP2B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9862]",-
ENSG00000117632,STMN1,-2.2681974746936,4.77690261325554e-28,5.62409103698391e-26,protein_coding,stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510],-
ENSG00000079805,DNM2,1.33706976148218,4.98432733347991e-28,5.82969548253986e-26,protein_coding,dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974],-
ENSG00000184216,IRAK1,-1.13299954587012,9.73889816010841e-28,1.13162177444711e-25,protein_coding,interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112],-
ENSG00000136997,MYC,-1.5779095921596,9.9594932142574e-28,1.149739417942e-25,protein_coding,"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]",bHLH
ENSG00000123689,G0S2,3.06260438436739,1.54380849892979e-27,1.77069854799831e-25,protein_coding,G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229],-
ENSG00000108582,CPD,1.19884101876781,1.56966618015351e-27,1.78881572761341e-25,protein_coding,carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301],-
ENSG00000100557,CCDC198,-2.19095049858,2.01120157889491e-27,2.27739755857285e-25,protein_coding,coiled-coil domain containing 198 [Source:HGNC Symbol;Acc:HGNC:20189],-
