outcome,exposure,exposure_z_grid,marginal_predicted_outcome
msi_no_bmi,ln_oxidative_to_MEHP,0.6466262172370103,0.0492639840687338
msi_no_bmi,ln_oxidative_to_MEHP,0.8110898066184442,0.0641997689691465
msi_no_bmi,ln_oxidative_to_MEHP,0.9755533959998781,0.0795341842359166
msi_no_bmi,ln_oxidative_to_MEHP,1.140016985381312,0.0951875037957727
msi_no_bmi,ln_oxidative_to_MEHP,1.304480574762746,0.11108000157544337
msi_no_bmi,ln_oxidative_to_MEHP,1.4689441641441798,0.127131951501657
msi_no_bmi,ln_oxidative_to_MEHP,1.633407753525614,0.14326362750114208
ln_HOMA_IR,ln_Sigma_DEHP,-1.6720193896897302,0.78272117674736
ln_HOMA_IR,ln_Sigma_DEHP,-1.5060049376411517,0.7974211236760541
ln_HOMA_IR,ln_Sigma_DEHP,-1.3399904855925735,0.8125805367670272
ln_HOMA_IR,ln_Sigma_DEHP,-1.173976033543995,0.8286588821825585
ln_HOMA_IR,ln_Sigma_DEHP,-1.0079615814954166,0.8461156260849269
ln_HOMA_IR,ln_Sigma_DEHP,-0.8419471294468384,0.865410234636411
ln_HOMA_IR,ln_Sigma_DEHP,-0.6759326773982599,0.8870021739992906
ln_HOMA_IR,ln_Sigma_DEHP,-0.5099182253496817,0.911350910335844
ln_HOMA_IR,ln_Sigma_DEHP,-0.3439037733011032,0.9389010909327741
ln_HOMA_IR,ln_Sigma_DEHP,-0.17788932125252477,0.9691925745180694
ln_HOMA_IR,ln_Sigma_DEHP,-0.011874869203946536,1.0003537204884767
ln_HOMA_IR,ln_Sigma_DEHP,0.15413958284463192,1.0303904018106878
ln_HOMA_IR,ln_Sigma_DEHP,0.32015403489321037,1.057308491451392
ln_HOMA_IR,ln_Sigma_DEHP,0.4861684869417886,1.0791995590537855
ln_HOMA_IR,ln_Sigma_DEHP,0.6521829389903668,1.0956058211920243
ln_HOMA_IR,ln_Sigma_DEHP,0.8181973910389455,1.1072791142576672
ln_HOMA_IR,ln_Sigma_DEHP,0.9842118430875237,1.1150082664294803
ln_HOMA_IR,ln_Sigma_DEHP,1.150226295136102,1.1195821058862292
ln_HOMA_IR,ln_Sigma_DEHP,1.3162407471846806,1.1217894608066799
ln_HOMA_IR,ln_Sigma_DEHP,1.4822551992332589,1.122419159369598
ln_HOMA_IR,ln_Sigma_DEHP,1.6482696512818373,1.1222600297537508
ln_HOMA_IR,pct_oxidative_10,-1.9260542749300955,0.8480286361798477
ln_HOMA_IR,pct_oxidative_10,-1.7765385105496323,0.8493383906806408
ln_HOMA_IR,pct_oxidative_10,-1.6270227461691689,0.8508043377811069
ln_HOMA_IR,pct_oxidative_10,-1.4775069817887057,0.8525826700809197
ln_HOMA_IR,pct_oxidative_10,-1.3279912174082424,0.854829580179752
ln_HOMA_IR,pct_oxidative_10,-1.178475453027779,0.8577012606772774
ln_HOMA_IR,pct_oxidative_10,-1.0289596886473158,0.861353904173169
ln_HOMA_IR,pct_oxidative_10,-0.8794439242668524,0.8659437032670997
ln_HOMA_IR,pct_oxidative_10,-0.7299281598863891,0.8716268505587436
ln_HOMA_IR,pct_oxidative_10,-0.5804123955059259,0.8785595386477729
ln_HOMA_IR,pct_oxidative_10,-0.4308966311254625,0.8868979601338621
ln_HOMA_IR,pct_oxidative_10,-0.2813808667449993,0.896798307616683
ln_HOMA_IR,pct_oxidative_10,-0.13186510236453608,0.9084167736959102
