ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
Diethylhexyl Phthalate,D004051,117-81-7,LAMP3,27074,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LAMP3 mRNA,decreases^expression,20678512
Diethylhexyl Phthalate,D004051,117-81-7,LAMP5,24141,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LAMP5 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LAMTOR2,28956,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LAMTOR2 mRNA,decreases^expression,28412506
Diethylhexyl Phthalate,D004051,117-81-7,LASP1,3927,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LASP1 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LBH,81606,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LBH mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LBP,3929,mRNA,Homo sapiens,9606,Asian ginseng inhibits the reaction [Diethylhexyl Phthalate results in increased expression of LBP mRNA],decreases^reaction|increases^expression,35818422
Diethylhexyl Phthalate,D004051,117-81-7,LBP,3929,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LBP mRNA,increases^expression,35818422
Diethylhexyl Phthalate,D004051,117-81-7,LBX1-AS1,399806,gene,Homo sapiens,9606,[Diethylhexyl Phthalate results in increased abundance of mono-(2-ethylhexyl)phthalate] which results in increased methylation of LBX1-AS1 gene,increases^abundance|increases^methylation,33872906
Diethylhexyl Phthalate,D004051,117-81-7,LCN15,389812,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LCN15 mRNA,decreases^expression,28412506
Diethylhexyl Phthalate,D004051,117-81-7,LCP1,3936,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LCP1 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LDB3,11155,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LDB3 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LDHA,3939,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LDHA protein,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LDHA,3939,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LDHA mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LDHD,197257,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LDHD mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LDHD,197257,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LDHD protein,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LECT2,3950,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LECT2 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LEFTY1,10637,gene,Homo sapiens,9606,[Diethylhexyl Phthalate results in increased abundance of mono-(2-ethylhexyl)phthalate] which results in increased methylation of LEFTY1 gene,increases^abundance|increases^methylation,33872906
Diethylhexyl Phthalate,D004051,117-81-7,LETM2,137994,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LETM2 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LFNG,3955,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LFNG mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LGALS1,3956,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LGALS1 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LGALS14,56891,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LGALS14 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LGALS16,148003,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LGALS16 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LGALS2,3957,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LGALS2 mRNA,increases^expression,28412506
Diethylhexyl Phthalate,D004051,117-81-7,LGALS3,3958,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LGALS3 protein,decreases^expression,38488668
Diethylhexyl Phthalate,D004051,117-81-7,LGALS3,3958,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LGALS3 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LGALS3,3958,protein,Homo sapiens,9606,TFEB protein inhibits the reaction [Diethylhexyl Phthalate results in decreased expression of LGALS3 protein],decreases^expression|decreases^reaction,38488668
Diethylhexyl Phthalate,D004051,117-81-7,LGR5,8549,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LGR5 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LHFPL1,340596,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LHFPL1 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LHFPL4,375323,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LHFPL4 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LHFPL6,10186,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LHFPL6 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LHX2,9355,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LHX2 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LHX5,64211,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LHX5 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LHX9,56956,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LHX9 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LIF,3976,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LIF mRNA,increases^expression,26198647|31163220
Diethylhexyl Phthalate,D004051,117-81-7,LIFR,3977,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LIFR mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LIG1,3978,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LIG1 mRNA,increases^expression,33120273
Diethylhexyl Phthalate,D004051,117-81-7,LIG3,3980,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LIG3 mRNA,increases^expression,33120273
Diethylhexyl Phthalate,D004051,117-81-7,LIMA1,51474,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LIMA1 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LIMS1,3987,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LIMS1 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LIMS3,96626,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LIMS3 mRNA,increases^expression,28412506
