GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions,pathway_id,pathway_name
PPP2CA,5515,2,1,1,decreases^expression|increases^activity; decreases^reaction|increases^activity,hsa04152,AMPK signaling pathway
PRKCE,5581,2,1,1,affects^reaction|increases^expression; increases^expression,hsa04931,Insulin resistance
PRKCE,5581,2,1,1,affects^reaction|increases^expression; increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
SIRT1,23411,2,1,2,decreases^expression,hsa04152,AMPK signaling pathway
SIRT1,23411,2,1,2,decreases^expression,hsa04068,FoxO signaling pathway
SLC27A6,28965,2,1,1,decreases^expression; increases^expression,hsa04931,Insulin resistance
SLC27A6,28965,2,1,1,decreases^expression; increases^expression,hsa03320,PPAR signaling pathway
TNC,3371,2,1,1,decreases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
TNFRSF1B,7133,2,1,1,affects^cotreatment|increases^expression; increases^expression,hsa04668,TNF signaling pathway
TNFSF10,8743,2,1,2,decreases^expression; decreases^expression|increases^methylation,hsa04068,FoxO signaling pathway
ACSL3,2181,1,1,1,increases^expression,hsa03320,PPAR signaling pathway
ACSL5,51703,1,1,1,increases^expression,hsa03320,PPAR signaling pathway
ADIPOR2,79602,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
AGT,183,1,1,1,decreases^expression,hsa04931,Insulin resistance
AGT,183,1,1,1,decreases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
AKT1S1,84335,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
ANGPT2,285,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
ANGPT4,51378,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
AQP7,364,1,1,1,increases^expression,hsa03320,PPAR signaling pathway
ATP12A,479,1,1,1,increases^expression,hsa00190,Oxidative phosphorylation
ATP6V1B1,525,1,1,1,decreases^expression,hsa00190,Oxidative phosphorylation
ATP6V1E1,529,1,1,1,decreases^expression,hsa00190,Oxidative phosphorylation
ATP8,4509,1,1,1,decreases^expression,hsa00190,Oxidative phosphorylation
CASP10,843,1,1,1,decreases^expression,hsa04668,TNF signaling pathway
CCL20,6364,1,1,1,affects^cotreatment|decreases^expression,hsa04668,TNF signaling pathway
CCNA2,890,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
CCND3,896,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
CCNE2,9134,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
CCNG2,901,1,1,1,increases^expression,hsa04068,FoxO signaling pathway
CD19,930,1,1,2,decreases^expression,hsa04151,PI3K-Akt signaling pathway
CD36,948,1,1,1,increases^expression,hsa04931,Insulin resistance
CD36,948,1,1,1,increases^expression,hsa04152,AMPK signaling pathway
CD36,948,1,1,1,increases^expression,hsa03320,PPAR signaling pathway
CDC42,998,1,1,1,increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
CDK6,1021,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
CDKN2B,1030,1,1,1,increases^expression,hsa04068,FoxO signaling pathway
COL1A1,1277,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
COL1A1,1277,1,1,1,increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
COL3A1,1281,1,1,1,decreases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
COL4A2,1284,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
COL4A2,1284,1,1,1,increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
COL4A6,1288,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
COL4A6,1288,1,1,1,increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
COL9A2,1298,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
COMP,1311,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
COX1,4512,1,1,1,decreases^expression,hsa00190,Oxidative phosphorylation
COX2,4513,1,1,1,decreases^expression,hsa00190,Oxidative phosphorylation
COX3,4514,1,1,1,decreases^expression,hsa00190,Oxidative phosphorylation
CREB3,10488,1,1,1,increases^expression,hsa04931,Insulin resistance
CREB3,10488,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
CREB3,10488,1,1,1,increases^expression,hsa04152,AMPK signaling pathway
CREB3,10488,1,1,1,increases^expression,hsa04668,TNF signaling pathway
CREB3L1,90993,1,1,1,increases^expression,hsa04931,Insulin resistance
CREB3L1,90993,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
CREB3L1,90993,1,1,1,increases^expression,hsa04152,AMPK signaling pathway
CREB3L1,90993,1,1,1,increases^expression,hsa04668,TNF signaling pathway
CREB3L2,64764,1,1,1,decreases^expression,hsa04931,Insulin resistance
CREB3L2,64764,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
CREB3L2,64764,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
CREB3L2,64764,1,1,1,decreases^expression,hsa04668,TNF signaling pathway
CREBBP,1387,1,1,1,decreases^expression,hsa04068,FoxO signaling pathway
CXCL1,2919,1,1,1,increases^expression,hsa04668,TNF signaling pathway
CXCL10,3627,1,1,1,affects^cotreatment|increases^expression,hsa04668,TNF signaling pathway
CYCS,54205,1,1,1,increases^expression,hsa00190,Oxidative phosphorylation
DIAPH1,1729,1,1,1,increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
DNM1L,10059,1,1,1,affects^cotreatment|affects^phosphorylation,hsa04668,TNF signaling pathway
EFNA1,1942,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
EFNA5,1946,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
EGFR,1956,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
EGFR,1956,1,1,1,increases^expression,hsa04068,FoxO signaling pathway
EGR1,1958,1,1,1,decreases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
EHHADH,1962,1,1,1,affects^response to substance|increases^expression,hsa03320,PPAR signaling pathway
EP300,2033,1,1,1,affects^binding|increases^reaction,hsa04068,FoxO signaling pathway
