exposure,model,outcome,term,estimate,std_error,z,p_value,ci_low,ci_high,n,clusters,r2,fdr
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,DR1TKCAL,0.024311979882601937,0.01665185671357232,1.4600161592062062,0.14428563289978655,-0.008325659275999809,0.056949619041203686,5229,90,0.08372204254808424,0.22200969875984347
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,ln_URXUCR,0.07192263474015821,0.02131677953266224,3.3739915839517916,0.0007408663276893759,0.030141746856140218,0.11370352262417621,5229,90,0.08372204254808424,0.002185962736094477
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,ever_smoker,0.03946798214973461,0.01900308262435998,2.0769252510190506,0.03780845877868766,0.002221940205989051,0.07671402409348017,5229,90,0.08372204254808424,0.0714899379019552
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,alcohol_ever,-0.056443251958217505,0.024311374434335654,-2.321680829303549,0.02025012795825131,-0.10409354584951538,-0.008792958066919626,5229,90,0.08372204254808424,0.03997911291757704
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,any_physical_activity,-0.07167202915214103,0.01913916906942076,-3.7447826962693824,0.0001805499784232305,-0.10918480052820573,-0.03415925777607635,5229,90,0.08372204254808424,0.0006640776603648957
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIAGENDR_2,-0.07213322505762347,0.036709623809490464,-1.9649676998045131,0.049417976107453514,-0.14408408772422476,-0.00018236239102216445,5229,90,0.08372204254808424,0.09119399714674412
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_2,-0.22943703409657157,0.05967938175587026,-3.8444941510139454,0.00012080136615123383,-0.3464086223380773,-0.11246544585506586,5229,90,0.08372204254808424,0.00046432866167150206
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_3,-0.36690523300844985,0.04971358422727631,-7.380381815381967,1.5783623053972782e-13,-0.46434385809391143,-0.26946660792298827,5229,90,0.08372204254808424,2.4216587371381098e-12
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_4,-0.2997314424121872,0.0573518918137188,-5.226182309482078,1.730457432472651e-07,-0.41214115036707605,-0.18732173445729833,5229,90,0.08372204254808424,1.1472291867133502e-06
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_6,-0.6773078927673083,0.04741264722678882,-14.285384436088178,2.6991587117753766e-46,-0.7702366813318143,-0.5843791042028023,5229,90,0.08372204254808424,3.623620570558443e-44
