GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions
MYBPC1,4604,2,2,1,increases^abundance|increases^methylation
MYLIP,29116,2,2,2,decreases^expression; increases^expression
MYOM2,9172,2,2,1,decreases^methylation|increases^abundance
MYT1L,23040,2,2,1,increases^abundance|increases^methylation
NADK2,133686,2,2,1,decreases^methylation|increases^abundance
NAMPT,10135,2,2,2,increases^expression
NASP,4678,2,2,2,decreases^expression; increases^expression
NBPF22P,285622,2,2,1,increases^abundance|increases^methylation
NCOR2,9612,2,2,1,increases^abundance|increases^methylation
NDE1,54820,2,2,1,increases^abundance|increases^methylation
NEAT1,283131,2,2,2,affects^cotreatment|decreases^expression; affects^expression
NEUROG2,63973,2,2,2,decreases^expression; increases^expression
NPPB,4879,2,2,2,decreases^expression; increases^expression
NPR3,4883,2,2,2,decreases^expression
NT5DC2,64943,2,2,1,decreases^methylation|increases^abundance
NTHL1,4913,2,2,1,increases^expression
NUBP2,10101,2,2,1,increases^abundance|increases^methylation
NUMBL,9253,2,2,1,decreases^methylation|increases^abundance
OLA1,29789,2,2,1,increases^abundance|increases^methylation
OLAH,55301,2,2,2,increases^expression
OLFM4,10562,2,2,1,increases^abundance|increases^methylation
OLFML1,283298,2,2,2,decreases^expression; increases^expression
OSMR,9180,2,2,2,decreases^expression; increases^expression
OTOS,150677,2,2,1,increases^abundance|increases^methylation
P2RY1,5028,2,2,1,increases^abundance|increases^methylation
PACSIN1,29993,2,2,1,increases^abundance|increases^methylation
PALMD,54873,2,2,2,decreases^expression; increases^expression
PAX3,5077,2,2,2,decreases^expression; increases^expression
PAX6,5080,2,2,2,affects^cotreatment|decreases^reaction|increases^expression; increases^expression
PCDHB10,56126,2,2,1,decreases^methylation|increases^abundance
PCSK6,5046,2,2,1,increases^abundance|increases^methylation
PDE1B,5153,2,2,2,decreases^expression; increases^expression
PDGFRL,5157,2,2,2,decreases^expression; increases^expression
PEX11B,8799,2,2,2,decreases^expression; increases^expression
PGAP2,27315,2,2,1,increases^abundance|increases^methylation
PID1,55022,2,2,2,increases^expression
PIK3CG,5294,2,2,1,increases^abundance|increases^methylation
PLA2G2A,5320,2,2,3,decreases^expression
PLAC8,51316,2,2,2,affects^cotreatment|decreases^expression; decreases^expression
PLAU,5328,2,2,2,decreases^expression; increases^expression
PLAUR,5329,2,2,2,increases^expression
PLCD1,5333,2,2,1,decreases^methylation|increases^abundance
PLEKHG1,57480,2,2,1,decreases^methylation|increases^abundance
PLIN2,123,2,2,2,increases^expression; increases^expression|increases^reaction
POLB,5423,2,2,1,increases^expression
POLD1,5424,2,2,1,increases^expression
POLR3H,171568,2,2,1,increases^abundance|increases^methylation
PPARB,100136658,2,2,1,affects^binding
PPARD,5467,2,2,2,increases^activity; increases^expression
PPFIBP2,8495,2,2,2,decreases^expression
PPM1A,5494,2,2,1,increases^abundance|increases^methylation
PPM1G,5496,2,2,1,decreases^methylation|increases^abundance
PRKCZ,5590,2,2,1,increases^abundance|increases^methylation
PRRX1,5396,2,2,1,increases^abundance|increases^methylation
PRSS23,11098,2,2,2,decreases^expression; increases^expression
PSMB9,5698,2,2,1,decreases^methylation|increases^abundance
PSMD9,5715,2,2,1,increases^abundance|increases^methylation
PTPRN2,5799,2,2,1,increases^abundance|increases^methylation
PXDN,7837,2,2,1,increases^abundance|increases^methylation
RAP1GAP,5909,2,2,1,decreases^methylation|increases^abundance
RARA,5914,2,2,1,decreases^methylation|increases^abundance
RBM38,55544,2,2,1,increases^abundance|increases^methylation
RCBTB1,55213,2,2,1,decreases^methylation|increases^abundance
RERE,473,2,2,1,decreases^methylation|increases^abundance
RFNG,5986,2,2,1,increases^abundance|increases^methylation
RHOB,388,2,2,1,increases^abundance|increases^methylation
RPA1,6117,2,2,1,increases^abundance|increases^methylation
RPSAP52,204010,2,2,1,increases^abundance|increases^methylation
RREB1,6239,2,2,1,decreases^methylation|increases^abundance
RUVBL1,8607,2,2,1,increases^abundance|increases^methylation
RXRA,6256,2,2,1,affects^binding
RXRB,6257,2,2,1,affects^binding
RXRG,6258,2,2,2,affects^binding; decreases^expression
SATB2,23314,2,2,2,decreases^expression; increases^expression
SCAF11,9169,2,2,1,increases^abundance|increases^methylation
SCFD2,152579,2,2,1,increases^abundance|increases^methylation
SCG5,6447,2,2,3,decreases^expression
SDK1,221935,2,2,1,increases^abundance|increases^methylation
SDR9C7,121214,2,2,1,decreases^methylation|increases^abundance
SELP,6403,2,2,1,decreases^methylation|increases^abundance
SERPINE1,5054,2,2,2,increases^expression
SET,6418,2,2,2,increases^expression
SFRP1,6422,2,2,1,increases^abundance|increases^methylation
SGK1,6446,2,2,2,decreases^expression; increases^expression
SKIDA1,387640,2,2,2,decreases^expression
SLC25A45,283130,2,2,1,decreases^methylation|increases^abundance
SLC29A1,2030,2,2,1,increases^abundance|increases^methylation
SLC40A1,30061,2,2,2,decreases^expression; increases^expression
SLC71A1,64645,2,2,1,decreases^methylation|increases^abundance
SLFN12,55106,2,2,2,decreases^expression; increases^expression
SMOC2,64094,2,2,1,increases^abundance|increases^methylation
SNAP25-AS1,100131208,2,2,1,increases^abundance|increases^methylation
SNX24,28966,2,2,1,decreases^methylation|increases^abundance
SOCS2-AS1,144481,2,2,1,affects^expression
SOX5,6660,2,2,2,decreases^expression; increases^expression
SPON1,10418,2,2,1,increases^abundance|increases^methylation
SPOPL,339745,2,2,1,increases^abundance|increases^methylation
SPTBN1,6711,2,2,1,increases^abundance|increases^methylation
SRSF8,10929,2,2,1,increases^abundance|increases^methylation
ST3GAL1,6482,2,2,2,increases^expression
STARD9,57519,2,2,1,increases^abundance|increases^methylation
STC2,8614,2,2,2,increases^expression
STMN4,81551,2,2,2,decreases^expression
SUCNR1,56670,2,2,1,increases^abundance|increases^methylation
SYNE2,23224,2,2,1,increases^abundance|increases^methylation
SYT12,91683,2,2,2,decreases^expression; increases^expression
TBC1D1,23216,2,2,1,increases^abundance|increases^methylation
TBCD,6904,2,2,1,decreases^methylation|increases^abundance
TBX20,57057,2,2,1,increases^abundance|increases^methylation
TCP10L,140290,2,2,1,increases^abundance|increases^methylation
TESPA1,9840,2,2,1,decreases^methylation|increases^abundance
TEX29,121793,2,2,1,increases^abundance|increases^methylation
TEX36-AS1,100169752,2,2,1,increases^abundance|increases^methylation
TH,7054,2,2,1,increases^abundance|increases^methylation
TIMP3,7078,2,2,2,decreases^expression; increases^expression
TM6SF1,53346,2,2,2,decreases^expression; increases^expression
TMEFF2,23671,2,2,3,decreases^expression
TMEM154,201799,2,2,2,increases^expression
TMEM204,79652,2,2,1,increases^abundance|increases^methylation
TMEM52,339456,2,2,1,decreases^methylation|increases^abundance
TNFRSF21,27242,2,2,2,increases^expression
TNFRSF8,943,2,2,2,decreases^expression
TNFSF11,8600,2,2,1,increases^abundance|increases^methylation
TNR,7143,2,2,1,decreases^methylation|increases^abundance
TOE1,114034,2,2,1,increases^abundance|increases^methylation
TPM1,7168,2,2,2,decreases^expression
TRIB3,57761,2,2,2,increases^expression
TRIM22,10346,2,2,2,decreases^expression; increases^expression
TRIM26,7726,2,2,1,increases^abundance|increases^methylation
TSHB,7252,2,2,1,decreases^secretion|increases^abundance
TSLP,85480,2,2,1,decreases^methylation|increases^abundance
TTC34,100287898,2,2,1,increases^abundance|increases^methylation
TTC40,24590450,2,2,1,increases^abundance|increases^methylation
TUBGCP3,10426,2,2,1,increases^abundance|increases^methylation
TUG1,55000,2,2,1,affects^expression
TXN,7295,2,2,1,increases^abundance|increases^methylation
UBD,10537,2,2,1,increases^abundance|increases^methylation
UBE2F-SCLY,100533179,2,2,1,increases^abundance|increases^methylation
UBTD2,92181,2,2,1,increases^abundance|increases^methylation
UNG,7374,2,2,2,increases^expression
USP3,9960,2,2,1,increases^abundance|increases^methylation
VARS1,7407,2,2,1,increases^abundance|increases^methylation
VEPH1,79674,2,2,2,decreases^expression; increases^expression
VEZF1,7716,2,2,2,decreases^expression; increases^expression
VPS37C,55048,2,2,1,decreases^methylation|increases^abundance
VPS53,55275,2,2,1,increases^abundance|increases^methylation
WASF3,10810,2,2,2,decreases^expression
WDR63,429090,2,2,1,decreases^methylation|increases^abundance
YTHDF1,54915,2,2,1,decreases^methylation|increases^abundance
YY1P2,647012,2,2,1,increases^abundance|increases^methylation
ZC3H10,84872,2,2,1,decreases^methylation|increases^abundance
ZC3H7B,23264,2,2,1,increases^abundance|increases^methylation
ZNF114,163071,2,2,1,decreases^methylation|increases^abundance
ZNF492,57615,2,2,1,decreases^methylation|increases^abundance
ZNF502,91392,2,2,1,increases^abundance|increases^methylation
ZNF618,114991,2,2,1,decreases^methylation|increases^abundance
ZNF644,84146,2,2,1,decreases^methylation|increases^abundance
ZNF704,619279,2,2,1,increases^abundance|increases^methylation
ZNF721,170960,2,2,1,decreases^methylation|increases^abundance
ZNF91,7644,2,2,1,increases^abundance|increases^methylation
RAP1A,5906,14,1,1,decreases^expression|increases^reaction; increases^expression; increases^expression|increases^reaction
IL12B,3593,12,1,1,affects^reaction|decreases^reaction|increases^expression; decreases^reaction|increases^expression
SP3,6670,10,1,1,affects^binding|decreases^reaction; decreases^acetylation|decreases^reaction|increases^ubiquitination; decreases^acetylation|increases^ubiquitination; decreases^expression
NR3C1,2908,9,1,3,affects^cotreatment|increases^activity; affects^cotreatment|increases^activity|increases^reaction; increases^activity; increases^activity|increases^reaction
SLC39A5,283375,9,1,1,decreases^reaction|increases^expression|increases^reaction; decreases^reaction|increases^phosphorylation|increases^reaction; increases^cleavage|increases^reaction; increases^expression
KLF7,8609,8,1,1,decreases^expression; decreases^expression|decreases^reaction; decreases^reaction|increases^expression
FOXO3,2309,7,1,1,affects^localization|decreases^phosphorylation|increases^expression; increases^expression; increases^expression|increases^reaction
TFEB,7942,7,1,1,decreases^activity|decreases^reaction; decreases^expression; decreases^expression|decreases^reaction; decreases^reaction|increases^cleavage
TSHR,7253,7,1,2,affects^reaction|increases^expression; affects^reaction|increases^phosphorylation; decreases^expression
MIR26A1,407015,6,1,2,affects^secretion|increases^abundance; decreases^expression|increases^reaction; decreases^reaction|increases^expression; increases^expression
CDH1,999,5,1,5,decreases^expression; decreases^expression|increases^reaction; increases^expression
RPS6KB1,6198,5,1,2,decreases^expression; decreases^reaction|increases^expression; increases^expression
YAP1,10413,5,1,1,affects^localization|decreases^phosphorylation|increases^activity|increases^expression|increases^stability; decreases^reaction|increases^stability; increases^expression; increases^expression|increases^reaction
CCNE1,898,4,1,2,affects^reaction|increases^expression; decreases^expression; increases^expression
COX4I1,1327,4,1,1,affects^cotreatment|decreases^reaction|increases^degradation; affects^cotreatment|increases^degradation; affects^cotreatment|increases^degradation|increases^reaction
EIF2AK3,9451,4,1,1,decreases^expression|decreases^reaction; decreases^reaction|increases^expression; increases^expression
GPX4,2879,4,1,3,decreases^expression; decreases^expression|decreases^reaction; decreases^expression|increases^reaction; increases^expression
H2AX,3014,4,1,2,affects^reaction|increases^phosphorylation; decreases^reaction|increases^expression; decreases^reaction|increases^expression|increases^reaction; increases^phosphorylation
IRF1,3659,4,1,1,increases^expression; increases^expression|increases^reaction
IRS1,3667,4,1,1,decreases^activity|decreases^phosphorylation; decreases^activity|decreases^phosphorylation|increases^reaction; decreases^phosphorylation; decreases^phosphorylation|increases^reaction
MFN1,55669,4,1,1,affects^cotreatment|decreases^reaction|increases^degradation; affects^cotreatment|increases^degradation; affects^cotreatment|increases^degradation|increases^reaction
MFN2,9927,4,1,1,affects^cotreatment|decreases^reaction|increases^degradation; affects^cotreatment|increases^degradation; affects^cotreatment|increases^degradation|increases^reaction
MIR27B,407019,4,1,1,affects^reaction|decreases^expression; decreases^expression; decreases^reaction|increases^expression
MYD88,4615,4,1,2,affects^cotreatment|decreases^expression; decreases^reaction|increases^expression; increases^expression
NGB,58157,4,1,1,affects^binding|decreases^reaction; decreases^expression; decreases^expression|decreases^reaction
NOL3,8996,4,1,1,increases^expression; increases^expression|increases^reaction
PIK3R1,5295,4,1,2,decreases^phosphorylation; decreases^phosphorylation|increases^reaction; increases^expression; increases^expression|increases^reaction
RELB,5971,4,1,1,affects^binding|increases^reaction; affects^localization; affects^localization|affects^reaction
THRB,7068,4,1,3,affects^binding|decreases^activity; affects^binding|increases^activity; affects^expression; decreases^expression
TNFAIP3,7128,4,1,2,affects^reaction|decreases^reaction|increases^expression; decreases^reaction|increases^expression; increases^expression
ABCC4,10257,3,1,2,affects^cotreatment|decreases^expression; affects^cotreatment|decreases^reaction|increases^expression; affects^cotreatment|increases^expression
ACACA,31,3,1,2,affects^expression; decreases^expression
AKR1C1,1645,3,1,2,affects^cotreatment|affects^expression|affects^reaction; increases^expression
ALOX5,240,3,1,1,affects^cotreatment|increases^expression; decreases^reaction|increases^expression; increases^expression
C3,718,3,1,1,affects^cotreatment|increases^expression; decreases^reaction|increases^expression; increases^expression
CCR6,1235,3,1,1,affects^cotreatment|increases^expression; decreases^reaction|increases^expression; increases^expression
CD14,929,3,1,1,affects^cotreatment|decreases^expression; decreases^expression; decreases^expression|decreases^reaction
CD40,958,3,1,2,affects^cotreatment|decreases^expression; decreases^expression; increases^expression
CSF1R,1436,3,1,2,affects^cotreatment|decreases^expression; decreases^expression; increases^expression
CTSD,1509,3,1,2,decreases^activity; decreases^activity|decreases^reaction; increases^expression
CYP2C8,1558,3,1,1,affects^binding|increases^reaction; decreases^activity|increases^expression|increases^metabolic processing; increases^expression
CYP2D6,1565,3,1,1,affects^binding|increases^reaction; decreases^activity|increases^expression|increases^metabolic processing; increases^expression
CYP4F11,57834,3,1,1,affects^cotreatment|increases^expression; decreases^expression; decreases^expression|decreases^reaction
F2,2147,3,1,2,affects^cotreatment|increases^expression; decreases^expression; decreases^expression|decreases^reaction
FASN,2194,3,1,3,affects^expression; increases^expression
GSDMD,79792,3,1,1,decreases^reaction|increases^cleavage; increases^cleavage; increases^cleavage|increases^reaction
HCK,3055,3,1,1,affects^cotreatment|decreases^expression; decreases^expression; decreases^expression|decreases^reaction
HDAC4,9759,3,1,1,decreases^acetylation|decreases^reaction|increases^ubiquitination; increases^expression
HFE,3077,3,1,1,affects^cotreatment|increases^expression; decreases^expression; decreases^expression|decreases^reaction
HPGD,3248,3,1,2,affects^cotreatment|decreases^expression|decreases^reaction; increases^expression
HRH4,59340,3,1,1,affects^cotreatment|decreases^expression; decreases^expression; decreases^expression|decreases^reaction
IL34,146433,3,1,1,affects^cotreatment|decreases^expression; decreases^expression; decreases^expression|decreases^reaction
KRAS,3845,3,1,1,affects^reaction|increases^phosphorylation
LGALS3,3958,3,1,2,decreases^expression; decreases^expression|decreases^reaction; increases^expression
LY75,4065,3,1,1,affects^cotreatment|decreases^expression; decreases^expression; decreases^expression|decreases^reaction
MAP4K4,9448,3,1,1,affects^localization|affects^reaction; affects^reaction|increases^expression
MIR372,442917,3,1,1,decreases^expression; decreases^reaction|increases^expression
NFKB2,4791,3,1,1,affects^binding|increases^reaction; affects^localization
PRKCG,5582,3,1,2,affects^reaction|decreases^reaction|increases^expression; decreases^expression
PTCH1,5727,3,1,1,affects^cotreatment|increases^expression; decreases^expression|decreases^reaction; increases^expression
PTGER2,5732,3,1,2,affects^cotreatment|affects^expression|affects^reaction; decreases^expression
PTGS1,5742,3,1,2,affects^cotreatment|affects^expression|affects^reaction; decreases^expression
SCD,6319,3,1,3,affects^expression; increases^expression
SLCO2A1,6578,3,1,2,affects^cotreatment|affects^reaction|increases^expression; increases^expression
SQSTM1,8878,3,1,2,decreases^reaction|increases^expression; increases^expression
SULT1A3,6818,3,1,2,affects^cotreatment|affects^expression; affects^expression; increases^expression
THRA,7067,3,1,2,affects^binding|increases^activity; decreases^expression
UCN,7349,3,1,2,affects^cotreatment|increases^expression; decreases^expression; increases^expression
AASS,10157,2,1,1,decreases^expression; increases^expression
ABCB1,5243,2,1,1,increases^expression; increases^expression|increases^reaction
ACADVL,37,2,1,2,affects^response to substance|increases^expression; increases^expression
ACSL1,2180,2,1,1,decreases^expression; increases^expression
ADAMTS1,9510,2,1,2,affects^cotreatment|affects^expression|affects^reaction; increases^expression
ADAMTS15,170689,2,1,2,decreases^expression; increases^expression
AHNAK,79026,2,1,1,decreases^expression; increases^expression
ALDH1A1,216,2,1,1,decreases^expression; increases^expression
ANXA4,307,2,1,1,decreases^expression; increases^expression
APOL3,80833,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
AQP1,358,2,1,1,decreases^expression; increases^expression
ARHGAP1,392,2,1,1,decreases^expression; increases^expression
ARHGAP18,93663,2,1,1,increases^expression
ATM,472,2,1,1,decreases^reaction|increases^expression; decreases^reaction|increases^expression|increases^reaction
BLNK,29760,2,1,1,affects^cotreatment|increases^expression; increases^expression
BMP2,650,2,1,1,affects^cotreatment|increases^expression; increases^expression
C4A,720,2,1,1,affects^cotreatment|affects^expression; decreases^expression
C4B,721,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
C5AR1,728,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
CA14,23632,2,1,1,decreases^expression; increases^expression
CA3,761,2,1,1,decreases^expression; increases^expression
CACNA2D2,9254,2,1,1,decreases^expression; increases^expression
CAPN6,827,2,1,1,decreases^expression; increases^expression
CCL25,6370,2,1,1,affects^cotreatment|increases^expression; increases^expression
CCL4,6351,2,1,1,affects^cotreatment|decreases^secretion; decreases^secretion
CCR2,729230,2,1,1,decreases^reaction|increases^expression; increases^expression
CD96,10225,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
CENPV,201161,2,1,1,decreases^expression; increases^expression
CHI3L1,1116,2,1,2,decreases^expression; decreases^expression|decreases^reaction
CKMT1A,548596,2,1,1,affects^cotreatment|affects^expression; decreases^expression
CLEC7A,64581,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
CMKLR1,1240,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
COL12A1,1303,2,1,1,decreases^expression; increases^expression
CSRP1,1465,2,1,1,decreases^expression; increases^expression
CSRP2,1466,2,1,1,decreases^expression; increases^expression
CXCL3,2921,2,1,1,affects^cotreatment|increases^expression; increases^expression
CXCL5,6374,2,1,1,decreases^reaction|increases^expression; increases^expression
CYP17A1,1586,2,1,2,increases^expression
DNMT1,1786,2,1,1,affects^cotreatment|affects^expression; affects^cotreatment|increases^expression
DNMT3B,1789,2,1,1,decreases^expression; increases^expression
DPPA4,55211,2,1,1,decreases^expression; increases^expression
EIF3CL,728689,2,1,2,affects^cotreatment|affects^expression; increases^expression
ERO1A,30001,2,1,2,decreases^expression; increases^expression
FAM114A1,92689,2,1,1,decreases^expression; increases^expression
FFAR2,2867,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
FRMD6,122786,2,1,1,decreases^expression; increases^expression
GALNT3,2591,2,1,1,decreases^expression; increases^expression
GATA3,2625,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
GCK,2645,2,1,2,affects^expression; decreases^expression
GNPDA1,10007,2,1,1,affects^cotreatment|affects^expression; increases^expression
GPT,2875,2,1,2,increases^activity; increases^expression
GPX1,2876,2,1,1,decreases^expression; decreases^expression|decreases^reaction
GSTA2,2939,2,1,2,affects^cotreatment|increases^expression; increases^expression
GSTK1,373156,2,1,1,decreases^expression; increases^expression
HAPLN1,1404,2,1,1,decreases^expression; increases^expression
HEXA,3073,2,1,1,affects^binding|decreases^reaction|increases^secretion; affects^binding|increases^secretion
HEXB,3074,2,1,1,affects^binding|decreases^reaction|increases^secretion; affects^binding|increases^secretion
HOMER2,9455,2,1,2,decreases^expression; increases^expression
HP,3240,2,1,1,decreases^expression; decreases^expression|decreases^reaction
HPR,3250,2,1,1,decreases^expression; decreases^expression|decreases^reaction
HSD3B2,3284,2,1,2,affects^cotreatment|affects^reaction|increases^expression; decreases^expression
HSPA5,3309,2,1,1,decreases^expression|decreases^reaction; increases^expression
IFI16,3428,2,1,1,increases^expression
IFNL3,282617,2,1,1,increases^expression
IL17B,27190,2,1,1,decreases^reaction|increases^expression; increases^expression
IL1RAP,3556,2,1,1,affects^cotreatment|increases^expression; increases^expression
IL20RB,53833,2,1,1,decreases^expression; decreases^expression|decreases^reaction
IL27,246778,2,1,1,affects^cotreatment|decreases^expression; increases^expression
IL31RA,133396,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
IL4,3565,2,1,1,decreases^reaction|increases^expression; increases^expression
ITGB6,3694,2,1,1,decreases^expression; increases^expression
KIF5C,3800,2,1,1,decreases^expression; increases^expression
LDHD,197257,2,1,1,decreases^expression; increases^expression
LMCD1,29995,2,1,1,decreases^expression; increases^expression
LOX,4015,2,1,2,decreases^expression; increases^expression
LPCAT2,54947,2,1,1,decreases^expression; increases^expression
LUM,4060,2,1,2,affects^cotreatment|decreases^expression; increases^expression
LY96,23643,2,1,1,decreases^expression; decreases^expression|decreases^reaction
MAN2B2,23324,2,1,1,decreases^expression; increases^expression
MAP2K1,5604,2,1,1,decreases^phosphorylation; decreases^phosphorylation|decreases^reaction
MAP2K2,5605,2,1,1,decreases^phosphorylation; decreases^phosphorylation|decreases^reaction
MEFV,4210,2,1,1,decreases^reaction|increases^expression; increases^expression
MIR16-1,406950,2,1,1,affects^reaction|decreases^expression; increases^expression
MIR99B,407056,2,1,2,affects^secretion|increases^abundance; decreases^expression
MKI67,4288,2,1,2,affects^cotreatment|affects^expression; increases^expression
MSX1,4487,2,1,2,decreases^expression; increases^expression
MT2A,4502,2,1,2,increases^abundance|increases^expression; increases^expression
MX1,4599,2,1,1,decreases^expression; increases^expression
MYLK3,91807,2,1,1,decreases^expression; decreases^expression|decreases^reaction
NFKBID,84807,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
NLRP9,338321,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
NR1H3,10062,2,1,3,affects^binding|increases^activity|increases^reaction; increases^expression
NR4A1,3164,2,1,2,decreases^expression; increases^expression
NRF1,4899,2,1,1,decreases^expression
OMD,4958,2,1,2,affects^cotreatment|decreases^expression; decreases^expression
P4HA2,8974,2,1,1,decreases^expression; increases^expression
P4HB,5034,2,1,1,decreases^expression; increases^expression
PF4V1,5197,2,1,1,decreases^reaction|increases^expression; increases^expression
PGBD3,267004,2,1,1,affects^cotreatment|affects^expression; affects^expression
PGR,5241,2,1,1,affects^cotreatment|decreases^reaction|increases^expression
PHOSPHO2-KLHL23,100526832,2,1,2,affects^cotreatment|affects^expression; decreases^expression
PIPOX,51268,2,1,2,decreases^expression; increases^expression
PMAIP1,5366,2,1,2,increases^expression
POC1B-GALNT4,100528030,2,1,1,affects^cotreatment|affects^expression; decreases^expression
POSTN,10631,2,1,2,decreases^expression; decreases^expression|increases^methylation
POU5F1,5460,2,1,2,affects^cotreatment|decreases^expression|decreases^reaction; increases^expression
PPIC,5480,2,1,1,decreases^expression; increases^expression
PPP2CA,5515,2,1,1,decreases^expression|increases^activity; decreases^reaction|increases^activity
PRKCE,5581,2,1,1,affects^reaction|increases^expression; increases^expression
PSTPIP1,9051,2,1,1,decreases^expression; decreases^expression|decreases^reaction
PTGER1,5731,2,1,1,affects^cotreatment|affects^reaction|decreases^expression|decreases^reaction; affects^cotreatment|decreases^expression|decreases^reaction
PTGER3,5733,2,1,1,affects^cotreatment|affects^expression|affects^reaction
PTGES2,80142,2,1,1,affects^cotreatment|affects^reaction|decreases^expression
PTN,5764,2,1,1,decreases^expression; increases^expression
RAB31,11031,2,1,1,decreases^expression; increases^expression
RAB9A,9367,2,1,1,decreases^expression; increases^expression
RAP1B,5908,2,1,1,increases^expression; increases^expression|increases^reaction
RCC1L,81554,2,1,1,decreases^expression; increases^expression
REM1,28954,2,1,1,decreases^expression; increases^expression
RGS4,5999,2,1,2,decreases^expression; increases^expression
S100A10,6281,2,1,1,decreases^expression; increases^expression
S100A8,6279,2,1,2,affects^cotreatment|increases^expression; increases^expression
SAMHD1,25939,2,1,1,decreases^expression; increases^expression
SERPINA3,12,2,1,1,decreases^expression; decreases^expression|decreases^reaction
SERPINE2,5270,2,1,1,decreases^expression; increases^expression
SERPINF2,5345,2,1,1,decreases^expression; decreases^expression|decreases^reaction
SFRP2,6423,2,1,1,decreases^expression; increases^expression
SIGLEC1,6614,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
SIRT1,23411,2,1,2,decreases^expression
SLC1A3,6507,2,1,2,decreases^expression; increases^expression
SLC27A6,28965,2,1,1,decreases^expression; increases^expression
SLC6A12,6539,2,1,2,decreases^expression; increases^expression
SLC7A10,56301,2,1,2,decreases^expression; increases^expression
SLC7A3,84889,2,1,1,decreases^expression; increases^expression
SMO,6608,2,1,1,affects^cotreatment|increases^expression; decreases^reaction|increases^expression
SULT1A4,445329,2,1,1,affects^cotreatment|affects^expression; affects^expression
SUSD2,56241,2,1,2,affects^cotreatment|decreases^expression; increases^expression
TACR1,6869,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
TFAM,7019,2,1,1,decreases^expression
TFF3,7033,2,1,1,increases^expression
TGFBI,7045,2,1,1,decreases^expression; increases^expression
TLR1,7096,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
TNC,3371,2,1,1,decreases^expression; increases^expression
TNFAIP8,25816,2,1,1,decreases^expression; increases^expression
TNFRSF1B,7133,2,1,1,affects^cotreatment|increases^expression; increases^expression
TNFRSF4,7293,2,1,1,decreases^reaction|increases^expression; increases^expression
TNFSF10,8743,2,1,2,decreases^expression; decreases^expression|increases^methylation
TNIP3,79931,2,1,1,decreases^reaction|increases^expression; increases^expression
TRHR,7201,2,1,1,decreases^reaction|increases^expression; increases^expression
TRIM16,10626,2,1,1,decreases^expression; decreases^expression|decreases^reaction
TSPO,706,2,1,1,decreases^expression; increases^expression
TTR,7276,2,1,1,affects^secretion|decreases^uptake; decreases^expression
TUBB3,10381,2,1,2,decreases^expression; increases^expression
TUBB4A,10382,2,1,1,decreases^expression; increases^expression
TUBB6,84617,2,1,1,decreases^expression; increases^expression
USP49,25862,2,1,1,increases^expression
VAT1L,57687,2,1,1,decreases^expression; increases^expression
VNN1,8876,2,1,1,affects^cotreatment|decreases^expression; decreases^expression
VTCN1,79679,2,1,1,decreases^expression; increases^expression
XCL1,6375,2,1,1,decreases^expression; decreases^expression|decreases^reaction
A2M,2,1,1,1,decreases^expression
AAMDC,28971,1,1,1,decreases^expression
AATK,9625,1,1,1,decreases^expression
ABCA9,10350,1,1,1,decreases^expression
ABCB11,8647,1,1,1,decreases^expression
ABCC2,1244,1,1,1,affects^cotreatment|increases^expression
ABCC3,8714,1,1,1,affects^cotreatment|increases^expression
ABCC6,368,1,1,1,decreases^expression
ABCC8,6833,1,1,1,decreases^expression
ABCG2,9429,1,1,1,affects^cotreatment|increases^expression
ABHD5,51099,1,1,1,increases^expression
ABHD6,57406,1,1,1,increases^expression
ABI2,10152,1,1,1,decreases^expression
ABLIM2,84448,1,1,1,increases^expression
ABLIM3,22885,1,1,1,increases^expression
ABTB3,121551,1,1,1,decreases^expression
ACAA1A,113868,1,1,1,affects^response to substance|increases^expression
ACBD7,414149,1,1,1,increases^expression
ACCS,84680,1,1,1,decreases^expression
ACIN1,22985,1,1,1,affects^expression
ACKR1,2532,1,1,1,decreases^expression
ACKR2,1238,1,1,1,increases^expression
ACLY,47,1,1,1,decreases^expression
ACOT7,11332,1,1,1,decreases^expression
ACSF2,80221,1,1,1,increases^expression
ACSL3,2181,1,1,1,increases^expression
ACSL5,51703,1,1,1,increases^expression
ACSS2,55902,1,1,1,decreases^expression
ACTA1,58,1,1,1,increases^expression
ACTA2,59,1,1,1,increases^expression
ACTBL2,345651,1,1,1,increases^expression
ACTG2,72,1,1,1,increases^expression
ACTN1,87,1,1,1,increases^expression
ACTR1B,10120,1,1,1,decreases^expression
ACTR3,10096,1,1,1,increases^expression
ADAM11,4185,1,1,1,decreases^expression
